analysis_label,farm_id,turbine_count,farm_commissioning_start_month,farm_commissioning_end_month,ramp_up_months,steady_operational_start_month,operational_start_month,operational_start_source,operational_window_known,total_manifest_months,pre_operational_manifest_months,commissioning_manifest_months,steady_manifest_months,unknown_phase_manifest_months,manifest_months,observed_months,observed_years,commissioning_observed_months,commissioning_observed_years,steady_observed_months,steady_observed_years,unknown_phase_observed_months,unknown_phase_observed_years,success_months,success_no_ais_in_bbox_months,skipped_missing_source_months,other_status_months,coverage_share,first_observed_month,last_observed_month,tier_a_visit_count,tier_b_visit_count,candidate_intervention_count,long_dwell_count,unique_vessel_count,pre_operational_candidate_count,commissioning_candidate_count,steady_candidate_count,unknown_phase_candidate_count,commissioning_long_dwell_count,steady_long_dwell_count,unknown_phase_long_dwell_count,candidate_date_missing_count,duplicate_adjustment_available,duplicate_candidate_row_count,duplicate_group_adjusted_candidate_count,commissioning_duplicate_adjusted_count,steady_duplicate_adjusted_count,unknown_phase_duplicate_adjusted_count,duplicate_adjustment_delta,candidate_interventions_per_observed_farm_year,long_dwell_interventions_per_observed_farm_year,commissioning_intervention_intensity_per_farm_year,steady_intervention_intensity_per_farm_year,confidence_class,recommended_simulator_use
RQ9 farm-level maintenance intervention intensity,Aberdeen Offshore Wind Farm,11,2018-09,2018-09,6,2019-03,2018-09,turbine_commissioning_date_range,True,192,104,6,82,0,88,77,6.416666666666667,6,0.5,71,5.916666666666667,0,0.0,7,70,11,0,0.875,2018-09,2025-02,1,0,1,1,1,2,0,1,0,0,1,0,0,True,0,1.0,0.0,1.0,0.0,0.0,0.15584415584415584,0.15584415584415584,0.0,0.16901408450704225,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Albatros,16,2020-01,2020-01,6,2020-07,2020-01,turbine_commissioning_date_range,True,192,120,6,66,0,72,61,5.083333333333333,6,0.5,55,4.583333333333333,0,0.0,33,28,11,0,0.8472222222222222,2020-01,2025-02,56,1,57,41,5,13,3,54,0,2,39,0,0,True,39,46.5,3.0,43.5,0.0,10.5,11.213114754098362,8.065573770491804,6.0,11.781818181818183,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Alpha Ventus,12,2010-04,2010-04,6,2010-10,2010-04,turbine_commissioning_date_range,True,192,3,6,183,0,189,177,14.75,6,0.5,171,14.25,0,0.0,96,81,12,0,0.9365079365079365,2010-04,2025-02,52,250,302,259,17,0,6,296,0,5,254,0,0,True,298,202.0,6.0,196.0,0.0,100.0,20.47457627118644,17.559322033898304,12.0,20.771929824561404,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Amrumbank West,80,2015-10,2015-10,6,2016-04,2015-10,turbine_commissioning_date_range,True,192,69,6,117,0,123,111,9.25,6,0.5,105,8.75,0,0.0,65,46,12,0,0.9024390243902439,2015-10,2025-02,352,10,362,308,34,19,0,362,0,0,308,0,0,True,345,321.1666666666667,0.0,321.1666666666667,0.0,40.833333333333314,39.13513513513514,33.2972972972973,0.0,41.371428571428574,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Anholt,111,2013-09,2013-09,6,2014-03,2013-09,turbine_commissioning_date_range,True,192,44,6,142,0,148,136,11.333333333333334,6,0.5,130,10.833333333333334,0,0.0,89,47,12,0,0.918918918918919,2013-09,2025-02,780,12,792,747,21,88,0,792,0,0,747,0,0,True,0,792.0,0.0,792.0,0.0,0.0,69.88235294117646,65.91176470588235,0.0,73.1076923076923,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Arcadis Ost 1,27,2023-12,2023-12,6,2024-06,2023-12,turbine_commissioning_date_range,True,192,167,6,19,0,25,14,1.1666666666666667,6,0.5,8,0.6666666666666666,0,0.0,14,0,11,0,0.56,2023-12,2025-02,247,10,257,237,17,50,75,182,0,74,163,0,0,True,34,257.0,75.0,182.0,0.0,0.0,220.28571428571428,203.14285714285714,150.0,273.0,low_coverage,insufficient_steady_coverage
RQ9 farm-level maintenance intervention intensity,Arkona-Becken Südost,60,2019-01,2019-01,6,2019-07,2019-01,turbine_commissioning_date_range,True,192,108,6,78,0,84,73,6.083333333333333,6,0.5,67,5.583333333333333,0,0.0,66,7,11,0,0.8690476190476191,2019-01,2025-02,405,2,407,392,17,144,9,398,0,9,383,0,0,True,363,405.0,9.0,396.0,0.0,2.0,66.9041095890411,64.43835616438356,18.0,71.28358208955224,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Avedøre Holme,3,2011-12,2011-12,6,2012-06,2011-12,turbine_commissioning_date_range,True,192,23,6,163,0,169,157,13.083333333333334,6,0.5,151,12.583333333333334,0,0.0,111,46,12,0,0.9289940828402367,2011-12,2025-02,1,1,2,0,2,2,0,2,0,0,0,0,0,True,0,2.0,0.0,2.0,0.0,0.0,0.15286624203821655,0.0,0.0,0.15894039735099336,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Baltic Eagle,50,2025-07,2025-07,6,2026-01,2025-07,turbine_commissioning_date_range,True,192,186,6,0,0,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0,6,0,0.0,,,0,0,0,0,0,1235,0,0,0,0,0,0,0,True,0,0.0,0.0,0.0,0.0,0.0,,,,,low_coverage,insufficient_steady_coverage
RQ9 farm-level maintenance intervention intensity,Bard Offshore 1,80,2013-09,2013-09,6,2014-03,2013-09,turbine_commissioning_date_range,True,192,44,6,142,0,148,136,11.333333333333334,6,0.5,130,10.833333333333334,0,0.0,46,90,12,0,0.918918918918919,2013-09,2025-02,95,8,103,85,9,37,0,103,0,0,85,0,0,True,59,103.0,0.0,103.0,0.0,0.0,9.088235294117647,7.5,0.0,9.507692307692308,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Barrow,30,2006-09,2006-09,6,2007-03,2006-09,turbine_commissioning_date_range,True,192,0,0,192,0,192,180,15.0,0,0.0,180,15.0,0,0.0,16,164,12,0,0.9375,2010-01,2025-02,6,0,6,5,3,0,0,6,0,0,5,0,0,True,3,6.0,0.0,6.0,0.0,0.0,0.4,0.3333333333333333,,0.4,high_observed_signal,steady_operational_only
