analysis_label,characteristic,characteristic_value,exposure_threshold,exposure_threshold_description,turbine_count,farm_count,oem_count,observed_steady_turbine_years,high_confidence_event_count,high_confidence_duplicate_adjusted_event_count,high_medium_event_count,high_medium_duplicate_adjusted_event_count,primary_raw_intervention_intensity_per_turbine_year,primary_duplicate_adjusted_intervention_intensity_per_turbine_year,sensitivity_raw_intervention_intensity_per_turbine_year,sensitivity_duplicate_adjusted_intervention_intensity_per_turbine_year,zero_event_turbine_count,zero_event_turbine_share,dominant_farm,dominant_farm_turbine_share,dominant_oem,dominant_oem_turbine_share,short_age_turbine_share,interpretation_flag
RQ9 turbine characteristics maintenance intervention intensity v1,commissioning_year,2024,all_turbines,all,314,5,1,50.333333333333336,42,42.0,93,93.0,0.8344370860927152,0.8344370860927152,1.847682119205298,1.847682119205298,291,0.9267515923566879,Hollandse Kust Zuid,0.445859872611465,Siemens Gamesa,1.0,1.0,short_operational_age
RQ9 turbine characteristics maintenance intervention intensity v1,commissioning_year,2021,all_turbines,all,157,5,3,500.0833333333333,202,202.0,361,361.0,0.40393267788701887,0.40393267788701887,0.7218796867188803,0.7218796867188803,93,0.5923566878980892,Borssele Kavel III and IV,0.49044585987261147,Vestas,0.535031847133758,0.0,robust_enough_for_exploratory_comparison
RQ9 turbine characteristics maintenance intervention intensity v1,commissioning_year,2023,all_turbines,all,248,4,2,212.83333333333334,47,45.5,201,190.66666666666666,0.22083007047768205,0.21378230227094752,0.9444009397024276,0.8958496476115896,219,0.8830645161290323,Seagreen,0.4596774193548387,Vestas,0.5685483870967742,1.0,short_operational_age
RQ9 turbine characteristics maintenance intervention intensity v1,commissioning_year,2002,all_turbines,all,80,1,1,1200.0,242,242.0,571,571.0,0.20166666666666666,0.20166666666666666,0.47583333333333333,0.47583333333333333,19,0.2375,Horns Rev I,1.0,Vestas,1.0,0.0,single_farm_dominated
RQ9 turbine characteristics maintenance intervention intensity v1,commissioning_year,2003,all_turbines,all,94,4,4,1410.0,283,283.0,528,527.5,0.20070921985815604,0.20070921985815604,0.37446808510638296,0.374113475177305,29,0.30851063829787234,Nysted,0.7659574468085106,Bonus,0.8723404255319149,0.0,single_farm_dominated
RQ9 turbine characteristics maintenance intervention intensity v1,commissioning_year,1995,all_turbines,all,10,1,1,150.0,30,30.0,34,34.0,0.2,0.2,0.22666666666666666,0.22666666666666666,3,0.3,Tunm Knob,1.0,Vestas,1.0,0.0,insufficient_exposure
RQ9 turbine characteristics maintenance intervention intensity v1,commissioning_year,2007,all_turbines,all,109,3,2,1635.0,278,278.0,331,331.0,0.17003058103975535,0.17003058103975535,0.20244648318042813,0.20244648318042813,58,0.5321100917431193,Lillgrund,0.44036697247706424,Siemens,0.6697247706422018,0.0,robust_enough_for_exploratory_comparison
RQ9 turbine characteristics maintenance intervention intensity v1,commissioning_year,2016,all_turbines,all,97,1,1,767.9166666666667,110,110.0,207,205.5,0.14324470971242537,0.14324470971242537,0.2695604991861096,0.2676071622354856,65,0.6701030927835051,Gode Wind 1 and 2,1.0,Siemens,1.0,0.0,single_farm_dominated
RQ9 turbine characteristics maintenance intervention intensity v1,commissioning_year,2019,all_turbines,all,495,7,4,2450.0,209,208.5,827,819.5,0.08530612244897959,0.08510204081632652,0.33755102040816326,0.33448979591836736,373,0.7535353535353535,Hornsea Project 1,0.3515151515151515,Siemens Gamesa,0.494949494949495,0.0,robust_enough_for_exploratory_comparison
RQ9 turbine characteristics maintenance intervention intensity v1,commissioning_year,2015,all_turbines,all,893,14,5,7989.0,633,622.8333333333333,2128,2082.333333333333,0.07923394667668043,0.07796136354153627,0.2663662535986982,0.26065006049985395,600,0.671892497200448,Gwynt y Mor,0.1791713325867861,Siemens,0.6640537513997761,0.0,robust_enough_for_exploratory_comparison
RQ9 turbine characteristics maintenance intervention intensity v1,commissioning_year,2011,all_turbines,all,75,3,1,977.25,72,72.0,222,222.0,0.07367613200306984,0.07367613200306984,0.227168073676132,0.227168073676132,49,0.6533333333333333,Walney 1,0.68,Siemens,1.0,0.0,single_farm_dominated
RQ9 turbine characteristics maintenance intervention intensity v1,commissioning_year,2010,all_turbines,all,456,7,4,6364.416666666668,437,436.5,1263,1261.5,0.06866300917863642,0.06858444738323752,0.19844709517761508,0.1982114097914184,296,0.6491228070175439,Thanet,0.21929824561403508,Siemens,0.5021929824561403,0.0,robust_enough_for_exploratory_comparison
RQ9 turbine characteristics maintenance intervention intensity v1,commissioning_year,2018,all_turbines,all,538,11,4,3213.166666666666,179,177.5,774,770.0,0.05570828362466934,0.05524145443228384,0.2408838632709166,0.23963898542455525,477,0.8866171003717472,Rampion,0.21561338289962825,Vestas,0.42379182156133827,0.0,robust_enough_for_exploratory_comparison
RQ9 turbine characteristics maintenance intervention intensity v1,commissioning_year,2020,all_turbines,all,325,7,3,1283.4166666666665,68,67.0,108,104.5,0.05298357249529252,0.052204402311538216,0.08415037984546458,0.08142328420232453,303,0.9323076923076923,East Anglia One,0.31384615384615383,Siemens Gamesa,0.8307692307692308,0.0,robust_enough_for_exploratory_comparison
RQ9 turbine characteristics maintenance intervention intensity v1,commissioning_year,2017,all_turbines,all,515,9,3,3700.916666666666,153,153.0,404,404.0,0.04134110918466147,0.04134110918466147,0.10916214451374662,0.10916214451374662,421,0.8174757281553398,Gemini,0.2912621359223301,Siemens,0.7009708737864078,0.0,robust_enough_for_exploratory_comparison
RQ9 turbine characteristics maintenance intervention intensity v1,commissioning_year,2014,all_turbines,all,318,6,3,3132.416666666667,119,119.0,352,352.0,0.03798983745244619,0.03798983745244619,0.11237330069967276,0.11237330069967276,259,0.8144654088050315,West of Duddon Sands,0.33962264150943394,Siemens,0.7704402515723271,0.0,robust_enough_for_exploratory_comparison
RQ9 turbine characteristics maintenance intervention intensity v1,commissioning_year,2013,all_turbines,all,719,8,3,7888.749999999998,245,245.0,629,629.0,0.03105688480430994,0.03105688480430994,0.07973379813024879,0.07973379813024879,598,0.8317107093184979,London Array,0.24339360222531292,Siemens,0.8219749652294854,0.0,robust_enough_for_exploratory_comparison
RQ9 turbine characteristics maintenance intervention intensity v1,commissioning_year,2001,all_turbines,all,20,1,1,300.0,7,7.0,17,17.0,0.023333333333333334,0.023333333333333334,0.056666666666666664,0.056666666666666664,13,0.65,Middelgrunden,1.0,Bonus,1.0,0.0,single_farm_dominated
RQ9 turbine characteristics maintenance intervention intensity v1,commissioning_year,2004,all_turbines,all,60,2,1,900.0,20,20.0,23,23.0,0.022222222222222223,0.022222222222222223,0.025555555555555557,0.025555555555555557,46,0.7666666666666667,North Hoyle,0.5,Vestas,1.0,0.0,single_oem_farm_confounded
RQ9 turbine characteristics maintenance intervention intensity v1,commissioning_year,2009,all_turbines,all,177,7,4,2626.666666666667,57,52.333333333333336,107,92.83333333333334,0.021700507614213195,0.019923857868020305,0.040736040609137054,0.035342639593908626,137,0.7740112994350282,Beatrice Offshore Wind Farm,0.4745762711864407,Siemens Gamesa,0.4745762711864407,0.0,robust_enough_for_exploratory_comparison
RQ9 turbine characteristics maintenance intervention intensity v1,commissioning_year,2005,all_turbines,all,30,1,1,450.0,5,5.0,10,10.0,0.011111111111111112,0.011111111111111112,0.022222222222222223,0.022222222222222223,25,0.8333333333333334,Kentish Flats,1.0,Vestas,1.0,0.0,single_farm_dominated
RQ9 turbine characteristics maintenance intervention intensity v1,commissioning_year,2008,all_turbines,all,60,1,1,900.0,6,6.0,11,11.0,0.006666666666666667,0.006666666666666667,0.012222222222222223,0.012222222222222223,54,0.9,OWF Prinses Amalia,1.0,Vestas,1.0,0.0,single_farm_dominated
RQ9 turbine characteristics maintenance intervention intensity v1,commissioning_year,2006,all_turbines,all,30,1,1,450.0,2,2.0,6,6.0,0.0044444444444444444,0.0044444444444444444,0.013333333333333334,0.013333333333333334,28,0.9333333333333333,Barrow,1.0,Vestas,1.0,0.0,single_farm_dominated
