analysis_label,farm_id,wind_farm,turbine_id,turbine_source_row,country,sea_basin,sea_basin_mapping_rule,latitude,longitude,farm_centroid_latitude,farm_centroid_longitude,distance_to_farm_centroid_m,distance_to_farm_centroid_quantile,exposure_group,outer_ring_proxy,farm_turbine_count,oem_manufacturer,turbine_model,rated_capacity_mw,rotor_diameter_m,hub_height_m,commissioning_date,commissioning_month,commissioning_year,steady_operational_start_month,turbine_age_years_at_observation_end,turbine_age_band_at_observation_end,water_depth_m,bathymetry_spatial_match_status,bathymetry_join_status,steady_manifest_months,observed_steady_months,observed_steady_years,success_steady_months,success_no_ais_in_bbox_steady_months,skipped_missing_source_steady_months,other_status_steady_months,steady_coverage_share,first_observed_steady_month,last_observed_steady_month,coverage_class,min_1yr_exposure,min_3yr_exposure,min_5yr_exposure
RQ9 turbine-level maintenance intervention intensity v1,Aberdeen Offshore Wind Farm,Aberdeen Offshore Wind Farm,Aberdeen_Offshore_Wind_Farm::0,0,United Kingdom,North Sea,united_kingdom_north_sea,57.2283,-2.0023,57.22287272727272,-1.9954181818181818,731.9764495971822,0.2,inner_or_middle_proxy,False,11,Vestas,V164-8.4 MW,8.4,164.0,108.5,2018-09,2018-09,2018,2019-03,7.25,3_to_7_years,21.469336,ok,matched_processed_bathymetry,82,71,5.916666666666667,7,64,11,0,0.8658536585365854,2019-03,2025-02,high_coverage,True,True,True
RQ9 turbine-level maintenance intervention intensity v1,Aberdeen Offshore Wind Farm,Aberdeen Offshore Wind Farm,Aberdeen_Offshore_Wind_Farm::1,1,United Kingdom,North Sea,united_kingdom_north_sea,57.2159,-2.0112,57.22287272727272,-1.9954181818181818,1226.3242441556288,0.5,inner_or_middle_proxy,False,11,Vestas,V164-8.4 MW,8.4,164.0,108.5,2018-09,2018-09,2018,2019-03,7.25,3_to_7_years,22.871094,ok,matched_processed_bathymetry,82,71,5.916666666666667,7,64,11,0,0.8658536585365854,2019-03,2025-02,high_coverage,True,True,True
RQ9 turbine-level maintenance intervention intensity v1,Aberdeen Offshore Wind Farm,Aberdeen Offshore Wind Farm,Aberdeen_Offshore_Wind_Farm::10,10,United Kingdom,North Sea,united_kingdom_north_sea,57.22,-2.0002,57.22287272727272,-1.9954181818181818,430.00512241383535,0.0,inner_or_middle_proxy,False,11,Vestas,V164-8.4 MW,8.4,164.0,108.5,2018-09,2018-09,2018,2019-03,7.25,3_to_7_years,24.582031,ok,matched_processed_bathymetry,82,71,5.916666666666667,7,64,11,0,0.8658536585365854,2019-03,2025-02,high_coverage,True,True,True
RQ9 turbine-level maintenance intervention intensity v1,Aberdeen Offshore Wind Farm,Aberdeen Offshore Wind Farm,Aberdeen_Offshore_Wind_Farm::2,2,United Kingdom,North Sea,united_kingdom_north_sea,57.216,-1.986,57.22287272727272,-1.9954181818181818,951.587123935475,0.3,inner_or_middle_proxy,False,11,Vestas,V164-8.4 MW,8.4,164.0,108.5,2018-09,2018-09,2018,2019-03,7.25,3_to_7_years,29.941406,ok,matched_processed_bathymetry,82,71,5.916666666666667,7,64,11,0,0.8658536585365854,2019-03,2025-02,high_coverage,True,True,True
RQ9 turbine-level maintenance intervention intensity v1,Aberdeen Offshore Wind Farm,Aberdeen Offshore Wind Farm,Aberdeen_Offshore_Wind_Farm::3,3,United Kingdom,North Sea,united_kingdom_north_sea,57.2236,-2.0127,57.22287272727272,-1.9954181818181818,1043.457128864207,0.4,inner_or_middle_proxy,False,11,Vestas,V164-8.4 MW,8.4,164.0,108.5,2018-09,2018-09,2018,2019-03,7.25,3_to_7_years,21.351562,ok,matched_processed_bathymetry,82,71,5.916666666666667,7,64,11,0,0.8658536585365854,2019-03,2025-02,high_coverage,True,True,True
RQ9 turbine-level maintenance intervention intensity v1,Aberdeen Offshore Wind Farm,Aberdeen Offshore Wind Farm,Aberdeen_Offshore_Wind_Farm::4,4,United Kingdom,North Sea,united_kingdom_north_sea,57.24,-1.9759,57.22287272727272,-1.9954181818181818,2237.602388733066,1.0,outer_exposed_proxy,True,11,Vestas,V164-8.4 MW,8.4,164.0,108.5,2018-09,2018-09,2018,2019-03,7.25,3_to_7_years,27.266893,ok,matched_processed_bathymetry,82,71,5.916666666666667,7,64,11,0,0.8658536585365854,2019-03,2025-02,high_coverage,True,True,True
RQ9 turbine-level maintenance intervention intensity v1,Aberdeen Offshore Wind Farm,Aberdeen Offshore Wind Farm,Aberdeen_Offshore_Wind_Farm::5,5,United Kingdom,North Sea,united_kingdom_north_sea,57.2335,-1.9896,57.22287272727272,-1.9954181818181818,1232.4959958893828,0.6,inner_or_middle_proxy,False,11,Vestas,V164-8.4 MW,8.4,164.0,108.5,2018-09,2018-09,2018,2019-03,7.25,3_to_7_years,25.738173,ok,matched_processed_bathymetry,82,71,5.916666666666667,7,64,11,0,0.8658536585365854,2019-03,2025-02,high_coverage,True,True,True
RQ9 turbine-level maintenance intervention intensity v1,Aberdeen Offshore Wind Farm,Aberdeen Offshore Wind Farm,Aberdeen_Offshore_Wind_Farm::6,6,United Kingdom,North Sea,united_kingdom_north_sea,57.2301,-1.9742,57.22287272727272,-1.9954181818181818,1508.9666417282954,0.8,outer_exposed_proxy,True,11,Vestas,V164-8.4 MW,8.4,164.0,108.5,2018-09,2018-09,2018,2019-03,7.25,3_to_7_years,28.804205,ok,matched_processed_bathymetry,82,71,5.916666666666667,7,64,11,0,0.8658536585365854,2019-03,2025-02,high_coverage,True,True,True
RQ9 turbine-level maintenance intervention intensity v1,Aberdeen Offshore Wind Farm,Aberdeen Offshore Wind Farm,Aberdeen_Offshore_Wind_Farm::7,7,United Kingdom,North Sea,united_kingdom_north_sea,57.208,-2.0106,57.22287272727272,-1.9954181818181818,1889.586090939661,0.9,outer_exposed_proxy,True,11,Vestas,V164-8.4 MW,8.4,164.0,108.5,2018-09,2018-09,2018,2019-03,7.25,3_to_7_years,23.828125,ok,matched_processed_bathymetry,82,71,5.916666666666667,7,64,11,0,0.8658536585365854,2019-03,2025-02,high_coverage,True,True,True
RQ9 turbine-level maintenance intervention intensity v1,Aberdeen Offshore Wind Farm,Aberdeen Offshore Wind Farm,Aberdeen_Offshore_Wind_Farm::8,8,United Kingdom,North Sea,united_kingdom_north_sea,57.2244,-1.988,57.22287272727272,-1.9954181818181818,477.75212893511673,0.1,inner_or_middle_proxy,False,11,Vestas,V164-8.4 MW,8.4,164.0,108.5,2018-09,2018-09,2018,2019-03,7.25,3_to_7_years,27.663252,ok,matched_processed_bathymetry,82,71,5.916666666666667,7,64,11,0,0.8658536585365854,2019-03,2025-02,high_coverage,True,True,True
