analysis_label,farm_id,wind_farm,turbine_id,country,sea_basin,sea_basin_mapping_rule,latitude,longitude,exposure_group,outer_ring_proxy,distance_to_farm_centroid_m,distance_to_farm_centroid_quantile,water_depth_m,oem_manufacturer,turbine_model,rated_capacity_mw,rotor_diameter_m,hub_height_m,commissioning_year,turbine_age_band_at_observation_end,observed_steady_months,observed_steady_years,steady_coverage_share,coverage_class,min_1yr_exposure,min_3yr_exposure,min_5yr_exposure,steady_high_event_count,steady_high_duplicate_adjusted_event_count,steady_high_unique_vessel_count,steady_high_repeat_visit_30d_count,steady_high_medium_event_count,steady_high_medium_duplicate_adjusted_event_count,steady_high_medium_unique_vessel_count,steady_high_medium_repeat_visit_30d_count,primary_intervention_intensity_per_steady_turbine_year,sensitivity_intervention_intensity_per_steady_turbine_year,turbine_intervention_confidence_class
RQ9 turbine-level maintenance intervention intensity v1,Aberdeen Offshore Wind Farm,Aberdeen Offshore Wind Farm,Aberdeen_Offshore_Wind_Farm::0,United Kingdom,North Sea,united_kingdom_north_sea,57.2283,-2.0023,inner_or_middle_proxy,False,731.9764495971822,0.2,21.469336,Vestas,V164-8.4 MW,8.4,164.0,108.5,2018,3_to_7_years,71,5.916666666666667,0.8658536585365854,high_coverage,True,True,True,0,0.0,0,0,0,0.0,0,0,0.0,0.0,high_observed_zero
RQ9 turbine-level maintenance intervention intensity v1,Aberdeen Offshore Wind Farm,Aberdeen Offshore Wind Farm,Aberdeen_Offshore_Wind_Farm::1,United Kingdom,North Sea,united_kingdom_north_sea,57.2159,-2.0112,inner_or_middle_proxy,False,1226.3242441556288,0.5,22.871094,Vestas,V164-8.4 MW,8.4,164.0,108.5,2018,3_to_7_years,71,5.916666666666667,0.8658536585365854,high_coverage,True,True,True,0,0.0,0,0,0,0.0,0,0,0.0,0.0,high_observed_zero
RQ9 turbine-level maintenance intervention intensity v1,Aberdeen Offshore Wind Farm,Aberdeen Offshore Wind Farm,Aberdeen_Offshore_Wind_Farm::10,United Kingdom,North Sea,united_kingdom_north_sea,57.22,-2.0002,inner_or_middle_proxy,False,430.00512241383535,0.0,24.582031,Vestas,V164-8.4 MW,8.4,164.0,108.5,2018,3_to_7_years,71,5.916666666666667,0.8658536585365854,high_coverage,True,True,True,0,0.0,0,0,0,0.0,0,0,0.0,0.0,high_observed_zero
RQ9 turbine-level maintenance intervention intensity v1,Aberdeen Offshore Wind Farm,Aberdeen Offshore Wind Farm,Aberdeen_Offshore_Wind_Farm::2,United Kingdom,North Sea,united_kingdom_north_sea,57.216,-1.986,inner_or_middle_proxy,False,951.587123935475,0.3,29.941406,Vestas,V164-8.4 MW,8.4,164.0,108.5,2018,3_to_7_years,71,5.916666666666667,0.8658536585365854,high_coverage,True,True,True,0,0.0,0,0,0,0.0,0,0,0.0,0.0,high_observed_zero
RQ9 turbine-level maintenance intervention intensity v1,Aberdeen Offshore Wind Farm,Aberdeen Offshore Wind Farm,Aberdeen_Offshore_Wind_Farm::3,United Kingdom,North Sea,united_kingdom_north_sea,57.2236,-2.0127,inner_or_middle_proxy,False,1043.457128864207,0.4,21.351562,Vestas,V164-8.4 MW,8.4,164.0,108.5,2018,3_to_7_years,71,5.916666666666667,0.8658536585365854,high_coverage,True,True,True,0,0.0,0,0,0,0.0,0,0,0.0,0.0,high_observed_zero
RQ9 turbine-level maintenance intervention intensity v1,Aberdeen Offshore Wind Farm,Aberdeen Offshore Wind Farm,Aberdeen_Offshore_Wind_Farm::4,United Kingdom,North Sea,united_kingdom_north_sea,57.24,-1.9759,outer_exposed_proxy,True,2237.602388733066,1.0,27.266893,Vestas,V164-8.4 MW,8.4,164.0,108.5,2018,3_to_7_years,71,5.916666666666667,0.8658536585365854,high_coverage,True,True,True,0,0.0,0,0,0,0.0,0,0,0.0,0.0,high_observed_zero
RQ9 turbine-level maintenance intervention intensity v1,Aberdeen Offshore Wind Farm,Aberdeen Offshore Wind Farm,Aberdeen_Offshore_Wind_Farm::5,United Kingdom,North Sea,united_kingdom_north_sea,57.2335,-1.9896,inner_or_middle_proxy,False,1232.4959958893828,0.6,25.738173,Vestas,V164-8.4 MW,8.4,164.0,108.5,2018,3_to_7_years,71,5.916666666666667,0.8658536585365854,high_coverage,True,True,True,0,0.0,0,0,1,1.0,1,0,0.0,0.16901408450704225,high_observed_zero
RQ9 turbine-level maintenance intervention intensity v1,Aberdeen Offshore Wind Farm,Aberdeen Offshore Wind Farm,Aberdeen_Offshore_Wind_Farm::6,United Kingdom,North Sea,united_kingdom_north_sea,57.2301,-1.9742,outer_exposed_proxy,True,1508.9666417282954,0.8,28.804205,Vestas,V164-8.4 MW,8.4,164.0,108.5,2018,3_to_7_years,71,5.916666666666667,0.8658536585365854,high_coverage,True,True,True,0,0.0,0,0,0,0.0,0,0,0.0,0.0,high_observed_zero
RQ9 turbine-level maintenance intervention intensity v1,Aberdeen Offshore Wind Farm,Aberdeen Offshore Wind Farm,Aberdeen_Offshore_Wind_Farm::7,United Kingdom,North Sea,united_kingdom_north_sea,57.208,-2.0106,outer_exposed_proxy,True,1889.586090939661,0.9,23.828125,Vestas,V164-8.4 MW,8.4,164.0,108.5,2018,3_to_7_years,71,5.916666666666667,0.8658536585365854,high_coverage,True,True,True,0,0.0,0,0,0,0.0,0,0,0.0,0.0,high_observed_zero
RQ9 turbine-level maintenance intervention intensity v1,Aberdeen Offshore Wind Farm,Aberdeen Offshore Wind Farm,Aberdeen_Offshore_Wind_Farm::8,United Kingdom,North Sea,united_kingdom_north_sea,57.2244,-1.988,inner_or_middle_proxy,False,477.75212893511673,0.1,27.663252,Vestas,V164-8.4 MW,8.4,164.0,108.5,2018,3_to_7_years,71,5.916666666666667,0.8658536585365854,high_coverage,True,True,True,0,0.0,0,0,0,0.0,0,0,0.0,0.0,high_observed_zero
