subset,source_column,subset_type,event_count,share_of_all
all_events,,guardrail_indicator,92660,1.0
has_wave,has_wave,guardrail_indicator,83901,0.9054716166630693
has_wind_speed,has_wind_speed,guardrail_indicator,75380,0.8135117634362184
has_wind_direction,has_wind_direction,guardrail_indicator,197,0.002126052233973667
has_current,has_current,guardrail_indicator,16307,0.17598748111374918
has_bathymetry,has_bathymetry,guardrail_indicator,92660,1.0
model_ready_wave_only,model_ready_wave_only,canonical_readiness_flag,83901,0.9054716166630693
model_ready_wave_wind,model_ready_wave_wind,canonical_readiness_flag,71134,0.7676883229009281
model_ready_wave_current,model_ready_wave_current,canonical_readiness_flag,15928,0.1718972587955968
model_ready_wave_wind_current,model_ready_wave_wind_current,canonical_readiness_flag,13207,0.142531836822793
model_ready_high_confidence,model_ready_high_confidence,canonical_readiness_flag,9337,0.10076624217569609
