candidate,bootstrap_win_rate,windows,iterations,seed
Borkum Riffgrund 2,0.8692,25,5000,1729
Trianel Windpark Borkum 2,0.048,25,5000,1729
Trianel Windpark Borkum 1,0.0456,25,5000,1729
Alpha Ventus,0.029,25,5000,1729
Borkum Riffgrund 1,0.007,25,5000,1729
Merkur Offshore,0.0008,25,5000,1729
Nordsee One,0.0004,25,5000,1729
Albatros,0.0,25,5000,1729
Gode Wind 3,0.0,25,5000,1729
Veja Mate,0.0,25,5000,1729
Sandbank,0.0,25,5000,1729
Riffgat,0.0,25,5000,1729
Nordsee Ost,0.0,25,5000,1729
Nordergründe,0.0,25,5000,1729
Meerwind Sued/Ost,0.0,25,5000,1729
Kaskasi,0.0,25,5000,1729
Global Tech I,0.0,25,5000,1729
Gode Wind 1 and 2,0.0,25,5000,1729
EnBW Windpark Baltic 2,0.0,25,5000,1729
EnBW Windpark Baltic 1,0.0,25,5000,1729
EnBW Hohe See,0.0,25,5000,1729
Deutsche Bucht,0.0,25,5000,1729
Dan Tysk,0.0,25,5000,1729
Butendiek,0.0,25,5000,1729
Bard Offshore 1,0.0,25,5000,1729
Baltic Eagle,0.0,25,5000,1729
Arkona-Becken Südost,0.0,25,5000,1729
Arcadis Ost 1,0.0,25,5000,1729
Amrumbank West,0.0,25,5000,1729
Wikinger,0.0,25,5000,1729
