candidate,lat,lon,cached_months,cached_month_count
Riffgat,53.69,6.48,"2021-12,2022-02",2
Nordergründe,53.84,8.17,"2021-12,2022-02",2
Borkum Riffgrund 2,53.95,6.5,"2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02",62
Borkum Riffgrund 1,53.97,6.55,"2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02",62
Nordsee One,53.98,6.82,"2021-12,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-12",9
Barrow,54.0,-3.29,2013-07,1
"Barrow (54.00,-3.28)",54.0,-3.28,2013-07,1
Alpha Ventus,54.01,6.61,"2019-02,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02",63
Gemini,54.03,5.91,"2017-07,2017-08",2
Merkur Offshore,54.04,6.56,"2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02",62
Gode Wind 1 and 2,54.04,6.99,"2021-12,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08",8
Gode Wind 3,54.04,7.1,"2021-12,2022-02",2
Trianel Windpark Borkum 1,54.05,6.46,"2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02",83
Trianel Windpark Borkum 2,54.05,6.47,"2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02",62
Deutsche Bucht,54.3,5.79,"2021-12,2022-02",2
Veja Mate,54.32,5.87,"2021-12,2022-02",2
Bard Offshore 1,54.36,5.98,"2021-12,2022-02",2
Meerwind Sued/Ost,54.39,7.7,"2021-12,2022-02",2
EnBW Hohe See,54.44,6.33,"2021-12,2022-02",2
Nordsee Ost,54.44,7.68,"2021-12,2022-02",2
Albatros,54.49,6.24,"2020-02,2021-02,2021-12,2022-02",4
Kaskasi,54.49,7.69,"2021-12,2022-02",2
Global Tech I,54.51,6.36,"2021-12,2022-02",2
Amrumbank West,54.52,7.71,"2021-12,2022-02",2
EnBW Windpark Baltic 1,54.61,12.65,"2021-12,2022-02",2
Arkona-Becken Südost,54.78,14.12,"2021-12,2022-02",2
Arcadis Ost 1,54.82,13.66,"2021-12,2022-02",2
Baltic Eagle,54.83,13.86,"2021-12,2022-02",2
Wikinger,54.84,14.07,"2021-12,2022-02",2
EnBW Windpark Baltic 2,54.98,13.16,"2021-12,2022-02",2
Butendiek,55.02,7.77,"2021-12,2022-02",2
Dan Tysk,55.14,7.2,"2021-12,2022-02",2
Sandbank,55.2,6.85,"2021-12,2022-02",2
Horns Rev I,55.5,7.82,2017-07,1
Horns Rev II,55.61,7.61,2017-07,1
