candidate,lat,lon,sector,share
Riffgat,53.69,6.48,N,0.038135593220338986
Riffgat,53.69,6.48,NE,0.006355932203389831
Riffgat,53.69,6.48,E,0.033192090395480225
Riffgat,53.69,6.48,SE,0.0981638418079096
Riffgat,53.69,6.48,S,0.14336158192090395
Riffgat,53.69,6.48,SW,0.2874293785310734
Riffgat,53.69,6.48,W,0.24717514124293785
Riffgat,53.69,6.48,NW,0.1461864406779661
Nordergründe,53.84,8.17,N,0.04449152542372881
Nordergründe,53.84,8.17,NE,0.011299435028248588
Nordergründe,53.84,8.17,E,0.041666666666666664
Nordergründe,53.84,8.17,SE,0.1306497175141243
Nordergründe,53.84,8.17,S,0.1172316384180791
Nordergründe,53.84,8.17,SW,0.2959039548022599
Nordergründe,53.84,8.17,W,0.21680790960451976
Nordergründe,53.84,8.17,NW,0.1419491525423729
Borkum Riffgrund 2,53.95,6.5,N,0.08874602332979852
Borkum Riffgrund 2,53.95,6.5,NE,0.07860551431601273
Borkum Riffgrund 2,53.95,6.5,E,0.10153764581124072
Borkum Riffgrund 2,53.95,6.5,SE,0.08262636974195829
Borkum Riffgrund 2,53.95,6.5,S,0.11647225167903853
Borkum Riffgrund 2,53.95,6.5,SW,0.1985242135030046
Borkum Riffgrund 2,53.95,6.5,W,0.19929745493107104
Borkum Riffgrund 2,53.95,6.5,NW,0.13419052668787557
Borkum Riffgrund 1,53.97,6.55,N,0.08894485683987274
Borkum Riffgrund 1,53.97,6.55,NE,0.07752297631671969
Borkum Riffgrund 1,53.97,6.55,E,0.10224460940261576
Borkum Riffgrund 1,53.97,6.55,SE,0.08222870272180982
Borkum Riffgrund 1,53.97,6.55,S,0.11660480735242135
Borkum Riffgrund 1,53.97,6.55,SW,0.198214916931778
Borkum Riffgrund 1,53.97,6.55,W,0.19947419582891482
Borkum Riffgrund 1,53.97,6.55,NW,0.1347649346058678
Nordsee One,53.98,6.82,N,0.08333333333333333
Nordsee One,53.98,6.82,NE,0.0926094890510949
Nordsee One,53.98,6.82,E,0.10888077858880779
Nordsee One,53.98,6.82,SE,0.09215328467153285
Nordsee One,53.98,6.82,S,0.0860705596107056
Nordsee One,53.98,6.82,SW,0.17396593673965938
Nordsee One,53.98,6.82,W,0.19631995133819952
Nordsee One,53.98,6.82,NW,0.16666666666666666
Barrow,54.0,-3.29,N,0.06317204301075269
Barrow,54.0,-3.29,NE,0.043010752688172046
Barrow,54.0,-3.29,E,0.13306451612903225
Barrow,54.0,-3.29,SE,0.09408602150537634
Barrow,54.0,-3.29,S,0.06451612903225806
Barrow,54.0,-3.29,SW,0.16263440860215053
Barrow,54.0,-3.29,W,0.2325268817204301
Barrow,54.0,-3.29,NW,0.20698924731182797
"Barrow (54.00,-3.28)",54.0,-3.28,N,0.06317204301075269
"Barrow (54.00,-3.28)",54.0,-3.28,NE,0.043010752688172046
"Barrow (54.00,-3.28)",54.0,-3.28,E,0.13306451612903225
"Barrow (54.00,-3.28)",54.0,-3.28,SE,0.09408602150537634
"Barrow (54.00,-3.28)",54.0,-3.28,S,0.06451612903225806
"Barrow (54.00,-3.28)",54.0,-3.28,SW,0.16263440860215053
"Barrow (54.00,-3.28)",54.0,-3.28,W,0.2325268817204301
"Barrow (54.00,-3.28)",54.0,-3.28,NW,0.20698924731182797
Alpha Ventus,54.01,6.61,N,0.08797021943573667
Alpha Ventus,54.01,6.61,NE,0.07673719958202717
Alpha Ventus,54.01,6.61,E,0.10155433646812957
Alpha Ventus,54.01,6.61,SE,0.08191832114245907
Alpha Ventus,54.01,6.61,S,0.1164881574364333
Alpha Ventus,54.01,6.61,SW,0.20090996168582376
Alpha Ventus,54.01,6.61,W,0.19921194705677464
Alpha Ventus,54.01,6.61,NW,0.1352098571926158
Gemini,54.03,5.91,N,0.0907258064516129
Gemini,54.03,5.91,NE,0.041666666666666664
Gemini,54.03,5.91,E,0.07795698924731183
Gemini,54.03,5.91,SE,0.09005376344086022
Gemini,54.03,5.91,S,0.07997311827956989
Gemini,54.03,5.91,SW,0.24126344086021506
Gemini,54.03,5.91,W,0.24260752688172044
Gemini,54.03,5.91,NW,0.135752688172043
Merkur Offshore,54.04,6.56,N,0.08874602332979852
Merkur Offshore,54.04,6.56,NE,0.07650671615411807
Merkur Offshore,54.04,6.56,E,0.10142718275008837
Merkur Offshore,54.04,6.56,SE,0.08256009190526688
Merkur Offshore,54.04,6.56,S,0.11552226935312832
