event_file,rows,asset_id,first_timestamp,last_timestamp,wind_speed_columns,power_columns,relative_wind_columns,power_6_min,power_6_max,wind_speed_236_min,wind_speed_236_max
1.csv,53569,53,2022-10-01 00:00:00,2023-10-16 00:00:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0097284,1.0409,-1.368,33.118
4.csv,56449,34,2022-07-28 10:00:00,2023-08-24 10:00:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0083778,1.03532,0.0,27.419
5.csv,52795,32,2022-02-01 00:00:00,2023-02-05 15:00:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0196682,1.04464,-9.803,28.956
6.csv,54865,38,2022-12-01 22:50:00,2023-12-17 22:50:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0072032,1.0427799999999998,0.1307,30.536
8.csv,54802,50,2022-08-23 17:00:00,2023-09-08 06:30:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0067108,1.05316,0.0,28.554
9.csv,56029,55,2022-08-02 07:30:00,2023-08-26 09:30:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.04269,1.0439200000000002,0.0,29.155
11.csv,56437,43,2022-10-17 12:30:00,2023-11-14 10:30:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0134159999999999,1.02232,-1.093,27.205
12.csv,56107,2,2022-06-27 00:00:00,2023-07-21 15:00:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0081808,1.0442,-14.9,26.557
15.csv,54433,12,2022-02-04 00:00:00,2023-02-23 00:00:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0115191999999999,1.03946,-4.45,33.736
16.csv,53568,53,2022-12-23 00:00:00,2024-01-07 23:50:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0097284,1.0409,-1.368,33.118
