candidate,sector,overlap_hours,pearson_r
Riffgat,N,54,0.6781024676897279
Riffgat,NE,9,
Riffgat,E,47,-0.3254636047353782
Riffgat,SE,139,0.16737601217446915
Riffgat,S,203,0.20404303819954336
Riffgat,SW,407,0.4576473160417399
Riffgat,W,350,0.5081067281711952
Riffgat,NW,207,0.49388277944990494
Nordergründe,N,63,0.3985359744253259
Nordergründe,NE,16,
Nordergründe,E,59,0.4530485838432249
Nordergründe,SE,185,0.6080682511883915
Nordergründe,S,166,0.1538589646235143
Nordergründe,SW,419,0.3082943572008337
Nordergründe,W,307,0.45430059332650696
Nordergründe,NW,201,0.38015972096079603
Borkum Riffgrund 2,N,1848,0.19264816102273216
Borkum Riffgrund 2,NE,1444,0.2108665794844878
Borkum Riffgrund 2,E,1599,0.5318333396419668
Borkum Riffgrund 2,SE,1363,0.493790086415564
Borkum Riffgrund 2,S,1964,0.4659900606967602
Borkum Riffgrund 2,SW,3288,0.5351676114608661
Borkum Riffgrund 2,W,3189,0.49641786798705684
Borkum Riffgrund 2,NW,2889,0.418076725718471
Borkum Riffgrund 1,N,1834,0.19008247623831467
Borkum Riffgrund 1,NE,1427,0.20125204250112538
Borkum Riffgrund 1,E,1608,0.5451401096147879
Borkum Riffgrund 1,SE,1359,0.49403726334908843
Borkum Riffgrund 1,S,1956,0.4792600387979655
Borkum Riffgrund 1,SW,3313,0.5286846941051919
Borkum Riffgrund 1,W,3191,0.4976111434243171
Borkum Riffgrund 1,NW,2896,0.41335591266053934
Nordsee One,N,548,0.54927190576088
Nordsee One,NE,609,0.40841326063449374
Nordsee One,E,716,0.46662514640547637
Nordsee One,SE,606,0.47114566798897267
Nordsee One,S,566,0.6239398798158948
Nordsee One,SW,1144,0.7130764829593156
Nordsee One,W,1291,0.6836043231939671
Nordsee One,NW,1096,0.5696857639325409
Alpha Ventus,N,1822,0.18933228323260892
Alpha Ventus,NE,1428,0.2011878820842678
Alpha Ventus,E,1604,0.5578447408591303
Alpha Ventus,SE,1367,0.4889637129837112
Alpha Ventus,S,1949,0.47441385822314913
Alpha Ventus,SW,3304,0.5225735690972966
Alpha Ventus,W,3197,0.5034237949580201
Alpha Ventus,NW,2913,0.4192197514985489
Merkur Offshore,N,1821,0.18775328634837726
Merkur Offshore,NE,1416,0.20693008464330068
Merkur Offshore,E,1596,0.5651095381469414
Merkur Offshore,SE,1362,0.48770294044614665
Merkur Offshore,S,1945,0.4742184638550981
Merkur Offshore,SW,3314,0.5344846157108589
Merkur Offshore,W,3198,0.4957583029134168
Merkur Offshore,NW,2932,0.42401943122464225
Gode Wind 1 and 2,N,536,0.5499947575758425
Gode Wind 1 and 2,NE,518,0.2812976898365976
Gode Wind 1 and 2,E,610,0.4235310033255274
Gode Wind 1 and 2,SE,628,0.44035930876469054
Gode Wind 1 and 2,S,455,0.4692946111492144
Gode Wind 1 and 2,SW,811,0.6683421574476265
Gode Wind 1 and 2,W,1217,0.6764344833244034
Gode Wind 1 and 2,NW,1057,0.5638334076274273
Gode Wind 3,N,53,0.7088327792647676
Gode Wind 3,NE,37,-0.6258147469493617
Gode Wind 3,E,51,0.5365318210721233
Gode Wind 3,SE,145,0.5193937421191961
Gode Wind 3,S,184,0.19331712094240605
Gode Wind 3,SW,369,0.4125393342676553
Gode Wind 3,W,366,0.507598446796756
Gode Wind 3,NW,211,0.4680740214320423
Trianel Windpark Borkum 1,N,1838,0.17999323783088428
Trianel Windpark Borkum 1,NE,1405,0.20203064753613592
Trianel Windpark Borkum 1,E,1603,0.5592324414014781
Trianel Windpark Borkum 1,SE,1362,0.5049838626800248
Trianel Windpark Borkum 1,S,1915,0.47628556557510576
Trianel Windpark Borkum 1,SW,3332,0.5364058021880003
Trianel Windpark Borkum 1,W,3189,0.4996924044505306
Trianel Windpark Borkum 1,NW,2940,0.42641277074312595
Trianel Windpark Borkum 2,N,1838,0.17999323783088428
Trianel Windpark Borkum 2,NE,1405,0.20203064753613592
Trianel Windpark Borkum 2,E,1603,0.5592324414014781
Trianel Windpark Borkum 2,SE,1362,0.5049838626800248
Trianel Windpark Borkum 2,S,1915,0.47628556557510576
Trianel Windpark Borkum 2,SW,3332,0.5364058021880003
Trianel Windpark Borkum 2,W,3189,0.4996924044505306
Trianel Windpark Borkum 2,NW,2940,0.42641277074312595
Deutsche Bucht,N,69,0.553309431148814
Deutsche Bucht,NE,15,
Deutsche Bucht,E,66,0.14071728391515714
Deutsche Bucht,SE,108,0.26013524282544814
Deutsche Bucht,S,200,0.284592470945775
Deutsche Bucht,SW,332,0.46414375699433963
Deutsche Bucht,W,415,0.5535031400106998
Deutsche Bucht,NW,211,0.5013212823647234
Veja Mate,N,71,0.6064169919214392
Veja Mate,NE,15,
Veja Mate,E,66,0.12928427906941065
Veja Mate,SE,113,0.3531804986245587
Veja Mate,S,188,0.28300305628756217
Veja Mate,SW,343,0.4672081598160255
Veja Mate,W,413,0.5639752644087516
Veja Mate,NW,207,0.48834659236477185
Bard Offshore 1,N,65,0.6109332869204438
Bard Offshore 1,NE,19,
Bard Offshore 1,E,65,0.1652696238236169
Bard Offshore 1,SE,114,0.35441060357736426
Bard Offshore 1,S,192,0.2877161543701986
Bard Offshore 1,SW,338,0.4550144252075864
Bard Offshore 1,W,406,0.5683472795294833
Bard Offshore 1,NW,217,0.5101675757902372
Meerwind Sued/Ost,N,54,0.2925452635922175
Meerwind Sued/Ost,NE,27,-0.36305728697809203
Meerwind Sued/Ost,E,49,0.5947644269631036
Meerwind Sued/Ost,SE,151,0.5097606853321812
Meerwind Sued/Ost,S,188,0.2506181695938732
Meerwind Sued/Ost,SW,354,0.39816812756964987
Meerwind Sued/Ost,W,369,0.5189198331460212
Meerwind Sued/Ost,NW,224,0.48240018397809853
EnBW Hohe See,N,63,0.5380340647725061
EnBW Hohe See,NE,28,-0.7496881580279018
EnBW Hohe See,E,55,0.560150438729885
EnBW Hohe See,SE,117,0.5325642612866962
EnBW Hohe See,S,195,0.1707492556412651
EnBW Hohe See,SW,338,0.4510305097919286
EnBW Hohe See,W,407,0.5707716657758892
EnBW Hohe See,NW,213,0.49841696259686846
Nordsee Ost,N,59,0.3405481664227682
Nordsee Ost,NE,29,-0.30006296563819723
Nordsee Ost,E,49,0.5597756793714096
Nordsee Ost,SE,146,0.4870594041939058
Nordsee Ost,S,191,0.2434088015657126
Nordsee Ost,SW,348,0.39937636634326096
Nordsee Ost,W,373,0.5439304746721964
Nordsee Ost,NW,221,0.4316014098114424
Albatros,N,75,0.24780360989599948
Albatros,NE,80,-0.31733975548076876
Albatros,E,282,0.40132479626233847
Albatros,SE,136,0.1376900554057901
Albatros,S,325,0.3143083373680964
Albatros,SW,450,0.34965335359049027
Albatros,W,470,0.49205535107321385
Albatros,NW,270,0.5318899273216718
Kaskasi,N,58,0.2630544449556947
Kaskasi,NE,32,-0.13832887698115406
Kaskasi,E,47,0.5087414890487263
Kaskasi,SE,147,0.5047155907240037
Kaskasi,S,189,0.22543413463276302
Kaskasi,SW,346,0.39784822189495195
Kaskasi,W,376,0.5223412824695657
Kaskasi,NW,221,0.48777523616510715
Global Tech I,N,59,0.48437592474272995
Global Tech I,NE,29,-0.7778545169748323
Global Tech I,E,54,0.5381219208410603
Global Tech I,SE,124,0.52725547539927
Global Tech I,S,192,0.18800060832946663
Global Tech I,SW,326,0.43804162475977704
Global Tech I,W,414,0.5852552246245226
Global Tech I,NW,218,0.4935040472375999
Amrumbank West,N,57,0.23928896531261112
Amrumbank West,NE,31,-0.2372216709197816
Amrumbank West,E,48,0.5129170540532608
Amrumbank West,SE,153,0.47789328919927937
Amrumbank West,S,182,0.20785609277184733
Amrumbank West,SW,339,0.4103047193039734
Amrumbank West,W,380,0.5215869565999184
Amrumbank West,NW,226,0.4989743165926438
EnBW Windpark Baltic 1,N,64,0.05772567461372319
EnBW Windpark Baltic 1,NE,5,
EnBW Windpark Baltic 1,E,45,0.7663620196897734
EnBW Windpark Baltic 1,SE,187,0.49685391985570854
EnBW Windpark Baltic 1,S,134,0.21721231072221567
EnBW Windpark Baltic 1,SW,388,0.38298797089117825
EnBW Windpark Baltic 1,W,406,0.3442228292318842
EnBW Windpark Baltic 1,NW,187,0.14763549659876318
Arkona-Becken Südost,N,66,0.09952430278056486
Arkona-Becken Südost,NE,42,0.8362947863945596
Arkona-Becken Südost,E,32,0.5493217414176221
Arkona-Becken Südost,SE,161,0.47179255143107035
Arkona-Becken Südost,S,134,0.23081231815619835
Arkona-Becken Südost,SW,358,0.3601965969009932
Arkona-Becken Südost,W,407,0.2772324916558867
Arkona-Becken Südost,NW,216,0.28130605643109996
Arcadis Ost 1,N,55,0.11926261713286435
Arcadis Ost 1,NE,40,0.8135292669891219
Arcadis Ost 1,E,38,0.6009194763514478
Arcadis Ost 1,SE,172,0.453560427577806
Arcadis Ost 1,S,117,0.38284368858965706
Arcadis Ost 1,SW,366,0.30811523179860967
Arcadis Ost 1,W,428,0.34427479241084535
Arcadis Ost 1,NW,200,0.20993862031761362
Baltic Eagle,N,57,0.1266109856141658
