month,raw_ais_files,has_farm_candidate_slice,has_german_bight_or_north_sea_slice
2022-01,Farm-Candidates_European-Master_2022_01_SogMax2.0_Buffer2.0nm.csv,True,False
2022-02,,False,False
2022-03,,False,False
2022-04,Farm-Candidates_European-Master_2022_04_SogMax2.0_Buffer2.0nm.csv,True,False
2022-05,,False,False
2022-06,,False,False
2022-07,Farm-Candidates_European-Master_2022_07_SogMax2.0_Buffer2.0nm.csv,True,False
2022-08,,False,False
2022-09,,False,False
2022-10,Farm-Candidates_European-Master_2022_10_SogMax2.0_Buffer2.0nm.csv,True,False
2022-11,,False,False
2022-12,,False,False
2023-01,Farm-Candidates_European-Master_2023_01_SogMax2.0_Buffer2.0nm.csv,True,False
2023-02,,False,False
2023-03,,False,False
2023-04,Farm-Candidates_European-Master_2023_04_SogMax2.0_Buffer2.0nm.csv,True,False
2023-05,,False,False
2023-06,,False,False
2023-07,Farm-Candidates_European-Master_2023_07_SogMax2.0_Buffer2.0nm.csv,True,False
2023-08,,False,False
2023-09,,False,False
2023-10,Farm-Candidates_European-Master_2023_10_SogMax2.0_Buffer2.0nm.csv,True,False
2023-11,,False,False
2023-12,,False,False
2024-01,Farm-Candidates_European-Master_2024_01_SogMax2.0_Buffer2.0nm.csv,True,False
