month,raw_ais_files,has_farm_candidate_slice,has_german_bight_or_north_sea_slice
2019-01,Farm-Candidates_European-Master_2019_01_SogMax2.0_Buffer2.0nm.csv,True,False
2019-02,,False,False
2019-03,,False,False
2019-04,Farm-Candidates_European-Master_2019_04_SogMax2.0_Buffer2.0nm.csv,True,False
2019-05,,False,False
2019-06,,False,False
2019-07,Farm-Candidates_European-Master_2019_07_SogMax2.0_Buffer2.0nm.csv,True,False
2019-08,,False,False
2019-09,,False,False
2019-10,Farm-Candidates_European-Master_2019_10_SogMax2.0_Buffer2.0nm.csv,True,False
2019-11,,False,False
2019-12,,False,False
2020-01,Farm-Candidates_European-Master_2020_01_SogMax2.0_Buffer2.0nm.csv,True,False
2020-02,,False,False
2020-03,,False,False
2020-04,Farm-Candidates_European-Master_2020_04_SogMax2.0_Buffer2.0nm.csv,True,False
2020-05,,False,False
2020-06,,False,False
2020-07,Farm-Candidates_European-Master_2020_07_SogMax2.0_Buffer2.0nm.csv,True,False
2020-08,,False,False
2020-09,,False,False
2020-10,Farm-Candidates_European-Master_2020_10_SogMax2.0_Buffer2.0nm.csv,True,False
2020-11,,False,False
2020-12,,False,False
2021-01,Farm-Candidates_European-Master_2021_01_SogMax2.0_Buffer2.0nm.csv,True,False
