farm_id,rows,nora3_hs_tp_rows,fusion_hs_tp_rows,fusion_coverage_rate,nora3_coverage_rate
Middelgrunden,15023,7236,14493,0.9647207614990349,0.48166145243959263
Nissum Bredning,11273,111,8556,0.7589816375410272,0.00984653597090393
Renland,11228,126,10578,0.9421090131813323,0.011221945137157107
Frederikshavn Offshore,11017,622,10294,0.934374149042389,0.05645820096214941
Avedøre Holme,4506,2666,2666,0.5916555703506435,0.5916555703506435
Kriegers Flak,2322,2193,2269,0.9771748492678726,0.9444444444444444
Arkona-Becken Südost,2289,2084,2084,0.91044124071647,0.91044124071647
Wikinger,1993,1826,1899,0.9528349222277973,0.9162067235323633
Baltic Eagle,1792,1523,1523,0.8498883928571429,0.8498883928571429
Rodsand II,1509,1365,1494,0.9900596421471173,0.904572564612326
Horns Rev II,1380,1231,1371,0.9934782608695653,0.8920289855072464
Nordsee Ost,1376,1199,1351,0.9818313953488372,0.8713662790697675
Horns Rev III,1243,1134,1225,0.9855189058728882,0.912308930008045
Nysted,1095,1060,1089,0.9945205479452055,0.9680365296803652
Merkur Offshore,1082,789,1026,0.9482439926062847,0.7292051756007394
Borkum Riffgrund 1,1031,768,1008,0.9776915615906887,0.7449078564500485
Kaskasi,1021,878,967,0.9471106758080313,0.8599412340842312
Borkum Riffgrund 2,1016,720,985,0.969488188976378,0.7086614173228346
Anholt,1008,957,982,0.9742063492063492,0.9494047619047619
EnBW Windpark Baltic 2,998,943,992,0.9939879759519038,0.9448897795591182
Meerwind Sued/Ost,982,869,963,0.9806517311608961,0.884928716904277
Arcadis Ost 1,904,792,875,0.9679203539823009,0.8761061946902655
Trianel Windpark Borkum 1,900,693,693,0.77,0.77
Amrumbank West,896,776,869,0.9698660714285714,0.8660714285714286
Alpha Ventus,895,662,879,0.982122905027933,0.7396648044692737
Gode Wind 1 and 2,894,657,864,0.9664429530201343,0.7348993288590604
Horns Rev I,808,772,808,1.0,0.9554455445544554
Gode Wind 3,764,569,569,0.7447643979057592,0.7447643979057592
Trianel Windpark Borkum 2,741,537,537,0.7246963562753036,0.7246963562753036
Dan Tysk,711,527,699,0.9831223628691983,0.7412095639943741
Butendiek,588,555,582,0.9897959183673469,0.9438775510204082
EnBW Windpark Baltic 1,465,425,452,0.9720430107526882,0.9139784946236559
Lillgrund,450,435,448,0.9955555555555555,0.9666666666666667
EnBW Hohe See,450,331,437,0.9711111111111111,0.7355555555555555
Veja Mate,441,309,429,0.9727891156462585,0.7006802721088435
Global Tech I,434,343,430,0.9907834101382489,0.7903225806451613
Vesterhav Syd,426,369,402,0.9436619718309859,0.8661971830985915
Nordsee One,412,326,404,0.9805825242718447,0.7912621359223301
Albatros,392,321,378,0.9642857142857143,0.8188775510204082
Vesterhav Nord,389,337,366,0.9408740359897172,0.8663239074550129
Sandbank,383,319,375,0.97911227154047,0.8328981723237598
London Array,379,305,305,0.8047493403693932,0.8047493403693932
Bard Offshore 1,281,187,258,0.9181494661921709,0.6654804270462633
Hollandse Kust Zuid,240,178,197,0.8208333333333333,0.7416666666666667
Inner Dowsing,228,190,228,1.0,0.8333333333333334
Deutsche Bucht,205,141,197,0.9609756097560975,0.6878048780487804
Lynn,201,171,201,1.0,0.8507462686567164
Lincs,196,175,175,0.8928571428571429,0.8928571428571429
Sheringham Shoal,174,134,135,0.7758620689655172,0.7701149425287356
Greater Gabbard,150,131,131,0.8733333333333333,0.8733333333333333
Aberdeen Offshore Wind Farm,146,112,113,0.773972602739726,0.7671232876712328
Teesside,143,78,84,0.5874125874125874,0.5454545454545454
Scroby Sands,136,26,136,1.0,0.19117647058823528
Sprogo,124,114,123,0.9919354838709677,0.9193548387096774
Samsa,122,116,121,0.9918032786885246,0.9508196721311475
Galloper,106,93,93,0.8773584905660378,0.8773584905660378
Gemini,105,64,105,1.0,0.6095238095238096
Riffgat,101,78,92,0.9108910891089109,0.7722772277227723
Thornton Bank - phase II and III,97,84,84,0.865979381443299,0.865979381443299
Nordergründe,94,76,76,0.8085106382978723,0.8085106382978723
Rentel,94,76,78,0.8297872340425532,0.8085106382978723
Norther,92,77,77,0.8369565217391305,0.8369565217391305
Borssele Kavel III and IV,92,74,81,0.8804347826086957,0.8043478260869565
Borssele Kavel I and II,84,67,71,0.8452380952380952,0.7976190476190477
Thornton Bank - phase I,80,71,71,0.8875,0.8875
Gwynt y Mor,78,71,71,0.9102564102564102,0.9102564102564102
Hornsea Project 2,76,55,73,0.9605263157894737,0.7236842105263158
Walney 2,74,66,74,1.0,0.8918918918918919
Burbo Bank Extension,73,55,55,0.7534246575342466,0.7534246575342466
Walney 1,72,69,72,1.0,0.9583333333333334
Hornsea Project 1,69,51,66,0.9565217391304348,0.7391304347826086
Walney Extension 4,69,59,59,0.855072463768116,0.855072463768116
OWF Luchterduinen,67,49,55,0.8208955223880597,0.7313432835820896
Tunm Knob,56,53,56,1.0,0.9464285714285714
Hollandse Kust Noord,52,38,45,0.8653846153846154,0.7307692307692307
Ormonde,48,48,48,1.0,1.0
Humber Gateway,48,38,40,0.8333333333333334,0.7916666666666666
North Hoyle,42,37,42,1.0,0.8809523809523809
OWF Prinses Amalia,41,29,41,1.0,0.7073170731707317
West of Duddon Sands,37,33,33,0.8918918918918919,0.8918918918918919
Rhyl Flats,34,27,34,1.0,0.7941176470588235
Triton Knoll,34,25,33,0.9705882352941176,0.7352941176470589
Race Bank,33,32,33,1.0,0.9696969696969697
Thanet,33,30,33,1.0,0.9090909090909091
Gunfleet Sands,30,26,30,1.0,0.8666666666666667
OWF Egmond aan Zee,28,20,28,1.0,0.7142857142857143
Moray West,25,21,21,0.84,0.84
Dudgeon,23,18,23,1.0,0.782608695652174
Burbo Bank,22,21,22,1.0,0.9545454545454546
Rampion,21,19,19,0.9047619047619048,0.9047619047619048
Beatrice Offshore Wind Farm,19,13,19,1.0,0.6842105263157895
Kentish Flats,18,17,18,1.0,0.9444444444444444
SeaStar,18,14,16,0.8888888888888888,0.7777777777777778
Neart na Gaoithe,18,16,16,0.8888888888888888,0.8888888888888888
Northwind,16,12,15,0.9375,0.75
Westermost Rough,15,11,12,0.8,0.7333333333333333
Belwind phase 1,14,8,14,1.0,0.5714285714285714
Nobelwind,14,8,11,0.7857142857142857,0.5714285714285714
Hywind Scotland Pilot Park,14,10,14,1.0,0.7142857142857143
Kentish Flats Extension,13,12,12,0.9230769230769231,0.9230769230769231
Walney Extension 3,13,10,10,0.7692307692307693,0.7692307692307693
Moray East,13,12,12,0.9230769230769231,0.9230769230769231
East Anglia One,13,10,12,0.9230769230769231,0.7692307692307693
Robin Rigg West,12,11,12,1.0,0.9166666666666666
Northwester 2,12,6,8,0.6666666666666666,0.5
Mermaid,12,6,9,0.75,0.5
Barrow,11,11,11,1.0,1.0
Seagreen,10,6,10,1.0,0.6
Blyth Demo Phase 1,8,6,6,0.75,0.75
Saint-Nazaire,6,6,6,1.0,1.0
Saint-Brieuc,4,4,4,1.0,1.0
Fécamp,4,4,4,1.0,1.0
Kincardine,1,1,1,1.0,1.0
