farm_id,wave_confidence_class,rows
Aberdeen Offshore Wind Farm,A_high,16
Aberdeen Offshore Wind Farm,B_medium,97
Aberdeen Offshore Wind Farm,D_unsuitable,33
Albatros,A_high,192
Albatros,B_medium,153
Albatros,C_low,33
Albatros,D_unsuitable,14
Alpha Ventus,A_high,499
Alpha Ventus,B_medium,326
Alpha Ventus,C_low,54
Alpha Ventus,D_unsuitable,16
Amrumbank West,A_high,534
Amrumbank West,B_medium,290
Amrumbank West,C_low,45
Amrumbank West,D_unsuitable,27
Anholt,A_high,786
Anholt,B_medium,196
Anholt,D_unsuitable,26
Arcadis Ost 1,A_high,495
Arcadis Ost 1,B_medium,358
Arcadis Ost 1,C_low,22
Arcadis Ost 1,D_unsuitable,29
Arkona-Becken Südost,B_medium,2084
Arkona-Becken Südost,D_unsuitable,205
Avedøre Holme,C_low,2666
Avedøre Holme,D_unsuitable,1840
Baltic Eagle,B_medium,1523
Baltic Eagle,D_unsuitable,269
Bard Offshore 1,A_high,116
Bard Offshore 1,B_medium,130
Bard Offshore 1,C_low,12
Bard Offshore 1,D_unsuitable,23
Barrow,A_high,8
Barrow,B_medium,3
Beatrice Offshore Wind Farm,A_high,7
Beatrice Offshore Wind Farm,B_medium,11
Beatrice Offshore Wind Farm,C_low,1
Belwind phase 1,A_high,8
Belwind phase 1,B_medium,6
Blyth Demo Phase 1,B_medium,6
Blyth Demo Phase 1,D_unsuitable,2
Borkum Riffgrund 1,A_high,574
Borkum Riffgrund 1,B_medium,379
Borkum Riffgrund 1,C_low,55
Borkum Riffgrund 1,D_unsuitable,23
Borkum Riffgrund 2,A_high,513
Borkum Riffgrund 2,B_medium,428
Borkum Riffgrund 2,C_low,44
Borkum Riffgrund 2,D_unsuitable,31
Borssele Kavel I and II,A_high,4
Borssele Kavel I and II,B_medium,67
Borssele Kavel I and II,D_unsuitable,13
Borssele Kavel III and IV,A_high,5
Borssele Kavel III and IV,B_medium,76
Borssele Kavel III and IV,D_unsuitable,11
Burbo Bank,C_low,22
Burbo Bank Extension,B_medium,39
Burbo Bank Extension,C_low,16
Burbo Bank Extension,D_unsuitable,18
Butendiek,A_high,412
Butendiek,B_medium,120
