dwell_id,visit_id,wind_farm,farm_id,dwell_tier,valid_source_count,available_sources,selected_wave_source,selected_hs_mean,selected_tp_mean,selected_wave_direction_sin_mean,selected_wave_direction_cos_mean,weighted_hs_mean,weighted_tp_mean,source_disagreement_hs_range,source_disagreement_tp_range,source_disagreement_direction_range_deg,wave_confidence_score,wave_confidence_class,selection_method,selection_reason,exclude_from_high_confidence_boundary,water_depth_m,shallow_water_flag,start_utc,end_utc
dw_4d81b2ec,9ade4842,Renland,Renland,Tier D,2,"nora3,nws",nws,0.012000000569969416,1.6599999628961086,-0.49097934944104826,0.5945477573633824,0.6964929561816803,4.808428697580217,1.4632573961280286,6.730473402887583,153.94347714731816,0.4258625,C_low,agreement_centered_quality_selection,"multiple valid sources disagree beyond transparent Hs/Tp thresholds; selected nws by minimum normalized disagreement with quality-score tie break, not by Fusion v0 source priority",True,0.0009651471,True,2023-10-01 00:02:47+00:00,2023-10-01 06:51:07+00:00
dw_6b0e16b2,5fe067d6,Nissum_Bredning,Nissum Bredning,Tier D,2,"nora3,nws",nws,0.012000000569969416,1.6599999628961086,-0.49097934944104826,0.5945477573633824,0.7162189715252483,4.899161819369739,1.463257382763364,6.730474037103891,153.94347755888828,0.4237375,C_low,agreement_centered_quality_selection,"multiple valid sources disagree beyond transparent Hs/Tp thresholds; selected nws by minimum normalized disagreement with quality-score tie break, not by Fusion v0 source priority",True,1.4403385,True,2023-10-01 00:02:47+00:00,2023-10-01 06:51:07+00:00
dw_b19f8bb8,8b9fc962,Renland,Renland,Tier D,2,"nora3,nws",nws,0.012000000569969416,1.6599999628961086,-0.49097934944104826,0.5945477573633824,0.6810306120815189,4.808428697580218,1.4302031635306776,6.730473402887583,154.28944369373846,0.4258625,C_low,agreement_centered_quality_selection,"multiple valid sources disagree beyond transparent Hs/Tp thresholds; selected nws by minimum normalized disagreement with quality-score tie break, not by Fusion v0 source priority",True,0.0009651471,True,2023-10-01 00:01:43+00:00,2023-10-01 07:52:29+00:00
dw_e7175ee6,ba7505b0,Nissum_Bredning,Nissum Bredning,Tier D,2,"nora3,nws",nws,0.012000000569969416,1.6599999628961086,-0.49097934944104826,0.5945477573633824,0.7003109748119232,4.8991618193697395,1.4302030422871734,6.730474037103891,154.28944511515357,0.4237375,C_low,agreement_centered_quality_selection,"multiple valid sources disagree beyond transparent Hs/Tp thresholds; selected nws by minimum normalized disagreement with quality-score tie break, not by Fusion v0 source priority",True,1.4403385,True,2023-10-01 00:01:43+00:00,2023-10-01 07:52:29+00:00
dw_41dc3edb,0e2048b6,Renland,Renland,Tier D,2,"nora3,nws",nws,0.195000009262003,1.9099999573081732,-0.7243956581849706,-0.6886281576495428,0.7805915821039742,6.7630543345350675,1.2518334820633754,10.374493489041924,121.66489006806226,0.4258625,C_low,agreement_centered_quality_selection,"multiple valid sources disagree beyond transparent Hs/Tp thresholds; selected nws by minimum normalized disagreement with quality-score tie break, not by Fusion v0 source priority",True,0.0009651471,True,2024-12-26 02:44:48+00:00,2024-12-26 06:07:11+00:00
dw_98c1c564,d4e6a547,Nissum_Bredning,Nissum Bredning,Tier D,2,"nora3,nws",nws,0.195000009262003,1.9099999573081732,-0.7243956581849706,-0.6886281576495428,0.7805915393831387,6.763054125738243,1.2518333907379968,10.374493042691826,121.66488808788304,0.4258625,C_low,agreement_centered_quality_selection,"multiple valid sources disagree beyond transparent Hs/Tp thresholds; selected nws by minimum normalized disagreement with quality-score tie break, not by Fusion v0 source priority",True,1.4403385,True,2024-12-26 02:44:48+00:00,2024-12-26 06:07:11+00:00
dw_ca58bb16,d60060ff,Horns_Rev_II,Horns Rev II,Tier C,2,"nora3,nws",nws,4.656000221148133,13.919999688863754,-0.6858182929839785,0.7277728141450063,5.185306718182174,14.349667049558674,1.1632064934819937,0.9442390501499176,176.06046961110437,0.44175,C_low,agreement_centered_quality_selection,"multiple valid sources disagree beyond transparent Hs/Tp thresholds; selected nws by minimum normalized disagreement with quality-score tie break, not by Fusion v0 source priority",True,12.514336,False,2019-01-01 12:01:38+00:00,2019-01-01 14:58:38+00:00
dw_2d315e9b,cf367b32,Nissum_Bredning,Nissum Bredning,Tier D,2,"nora3,nws",nws,0.0,1.6399999633431435,0.0,1.0,0.5467021247838618,6.225387321042554,1.1359619,9.527721036656857,125.21244999999999,0.4237375,C_low,agreement_centered_quality_selection,"multiple valid sources disagree beyond transparent Hs/Tp thresholds; selected nws by minimum normalized disagreement with quality-score tie break, not by Fusion v0 source priority",True,1.4403385,True,2024-06-21 11:01:43+00:00,2024-06-21 12:36:11+00:00
dw_f6fbc8a8,3bb49666,Renland,Renland,Tier D,2,"nora3,nws",nws,0.0,1.6399999633431435,0.0,1.0,0.5313883352012527,6.096945002090697,1.135961890220642,9.527720831334591,125.21244882315847,0.4258625,C_low,agreement_centered_quality_selection,"multiple valid sources disagree beyond transparent Hs/Tp thresholds; selected nws by minimum normalized disagreement with quality-score tie break, not by Fusion v0 source priority",True,0.0009651471,True,2024-06-21 11:01:43+00:00,2024-06-21 12:36:11+00:00
dw_68e79add,1bee4c4f,Renland,Renland,Tier D,2,"nora3,nws",nws,0.014000000664964318,1.6699999626725912,0.8589598808438242,-0.512042891856496,0.5412618961453918,4.8137512724293545,1.1271406987216324,6.720474356785417,32.23478985982635,0.4258625,C_low,agreement_centered_quality_selection,"multiple valid sources disagree beyond transparent Hs/Tp thresholds; selected nws by minimum normalized disagreement with quality-score tie break, not by Fusion v0 source priority",True,0.54930305,True,2024-12-31 08:43:31+00:00,2024-12-31 09:15:01+00:00
