variant,tp_bin_left,tp_bin_right,rows_v0,rows_variant,hs_p50_v0,hs_p50_variant,hs_p95_v0,hs_p95_variant,hs_p95_delta_vs_v0
fusion_v1_selected_all,1.5,2.0,304,272,0.12365401123339931,0.0517482035,0.20806984211058238,0.19638787119183687,-0.01168197091874551
fusion_v1_selected_all,2.0,2.5,720,726,0.20898967567417356,0.1904875232590621,0.3274859738018777,0.3069871512457861,-0.02049882255609159
fusion_v1_selected_all,2.5,3.0,1375,1370,0.3199772909283638,0.30084586268221536,0.4816808973163874,0.45972269145306194,-0.021958205863325475
fusion_v1_selected_all,3.0,3.5,1726,1808,0.47665914540023857,0.4634243845939636,0.6684520702110603,0.6500000308733433,-0.018452039337716997
fusion_v1_selected_all,3.5,4.0,2041,2088,0.6475934866666666,0.636189341545105,0.8960000425577164,0.8830973085287648,-0.01290273402895159
fusion_v1_selected_all,4.0,4.5,1917,1936,0.8030708795652173,0.797416704541926,1.0848994320931116,1.0740000510122627,-0.010899381080848869
fusion_v1_selected_all,4.5,5.0,1466,1457,0.8659706371171134,0.8504717946052551,1.2891335075255483,1.2621544525027275,-0.02697905502282083
fusion_v1_selected_all,5.0,5.5,1133,1125,0.8043529793811852,0.8080000383779407,1.465933076550359,1.4620000694412738,-0.003933007109085285
fusion_v1_selected_all,5.5,6.0,1010,1002,0.79650003783172,0.7951667044350568,1.5320000727660954,1.5358440359749475,0.0038439632088520526
fusion_v1_selected_all,6.0,6.5,750,732,0.8260000392328948,0.8350000396603718,1.7363000824698245,1.7113429384272805,-0.02495714404254401
fusion_v1_selected_all,6.5,7.0,564,575,0.8064541758333332,0.8080000383779407,1.7079250811220845,1.7138150814018438,0.005890000279759278
fusion_v1_selected_all,7.0,7.5,322,324,1.000666714195783,0.984379602400411,2.0540000975597645,2.040450096916174,-0.013550000643590465
fusion_v1_selected_all,7.5,8.0,341,327,0.9255850315093994,0.944000044837594,1.9953322285714286,2.020987511251587,0.025655282680158598
fusion_v1_selected_all,8.0,8.5,145,147,0.689000032725744,0.6900000327732414,1.7502000831300393,1.8160500862577458,0.0658500031277065
fusion_v1_selected_all,8.5,9.0,78,78,0.8164762292567286,0.7793333703496803,2.2293120591202737,2.1970120575861056,-0.03230000153416812
fusion_v1_selected_all,9.0,9.5,88,89,0.5811070054409275,0.5822139833333334,1.8132823300361258,1.7987529259683368,-0.01452940406778902
fusion_v1_selected_all,9.5,10.0,90,85,0.662582665681839,0.6500000308733433,1.3010300617956088,1.3310800632229072,0.03005000142729841
fusion_v1_selected_all,10.0,10.5,166,167,0.6254879618063569,0.6228023767471313,1.3300000631716102,1.3311000632238568,0.0011000000522465303
fusion_v1_selected_all,10.5,11.0,73,76,0.8510000404203311,0.8250000391853973,1.4470970347222214,1.430720129513889,-0.01637690520833246
fusion_v1_selected_all,11.0,11.5,56,57,0.7430000352906063,0.7520000357180834,1.2838400818582159,1.305356583740238,0.021516501882022254
fusion_v1_selected_all,11.5,12.0,50,50,0.9476667116784181,0.9490000450750813,1.4586000692797818,1.4572000692132856,-0.0014000000664962098
