farm_id,wind_farm,sea_basin,country,turbine_count,observed_steady_turbine_years,observed_steady_months,steady_manifest_months,success_steady_months,success_no_ais_in_bbox_steady_months,skipped_missing_source_steady_months,farm_centroid_latitude,farm_centroid_longitude,mean_water_depth_m,steady_coverage_share,success_no_ais_share_of_observed,skipped_missing_source_share_of_manifest,zero_event_turbine_share_high_confidence,high_confidence_event_count,high_confidence_adjusted_event_count,high_medium_event_count,high_medium_adjusted_event_count,high_coverage_zero_event_turbine_share,tier_a_steady_event_count,tier_a_high_assignment_count,tier_a_high_medium_assignment_count,median_distance_to_turbine_m,tier_a_high_assignment_share,tier_a_high_medium_assignment_share,high_confidence_unique_mmsi,high_confidence_median_duration_min,high_confidence_p90_duration_min,high_confidence_top5_mmsi_share,all_dwell_event_count,all_dwell_unique_mmsi,all_dwell_top5_mmsi_share,all_dwell_median_duration_min,all_dwell_share_le_60min,all_dwell_share_le_120min,tier_a_all_dwell_count,tier_b_all_dwell_count,tier_a_share_all_dwell,primary_intervention_intensity_per_steady_turbine_year,sensitivity_intervention_intensity_per_steady_turbine_year,direct_receiver_metadata_available,offshore_or_receiver_distance_available,observability_control_note
Arcadis Ost 1,Arcadis Ost 1,Baltic,Germany,27,18.0,216,513,216,0,297,54.81808518518518,13.656996296296297,44.02342614814815,0.42105263157894735,0.0,0.5789473684210527,0.48148148148148145,25,25.0,86,86.0,,174.0,25.0,86.0,502.559156091276,0.14367816091954022,0.4942528735632184,6.0,223.76666666666668,480.50000000000006,0.96,904.0,94.0,0.5663716814159292,257.98333333333335,0.07411504424778761,0.3141592920353982,287.0,20.0,0.3174778761061947,1.3888888888888888,4.777777777777778,False,False,low_source_status_coverage
Kriegers Flak,Kriegers Flak,Baltic,Denmark,72,210.0,2520,3312,2088,432,792,55.030456944444445,12.937306944444444,23.433489861111113,0.7608695652173914,0.17142857142857143,0.2391304347826087,0.1388888888888889,199,199.0,358,358.0,,576.0,199.0,358.0,358.8594948974669,0.3454861111111111,0.6215277777777778,7.0,420.1166666666667,531.6066666666668,0.9899497487437185,2322.0,148.0,0.6356589147286822,169.85000000000002,0.047372954349698536,0.4263565891472868,675.0,511.0,0.29069767441860467,0.9476190476190476,1.7047619047619047,False,False,low_source_status_coverage
Samsa,Samsa,Baltic,Denmark,10,150.0,1800,1920,510,1290,120,55.72135999999999,10.5834,14.1658979,0.9375,0.7166666666666667,0.0625,0.0,97,97.0,102,102.0,0.0,103.0,97.0,102.0,70.50073631236694,0.941747572815534,0.9902912621359223,8.0,242.63333333333333,426.6333333333333,0.9690721649484536,122.0,27.0,0.7950819672131147,206.775,0.13934426229508196,0.27049180327868855,103.0,0.0,0.8442622950819673,0.6466666666666666,0.68,False,False,proxy_controls_only
Wikinger,Wikinger,Baltic,Germany,70,408.3333333333333,4900,5670,4550,350,770,54.83602714285715,14.067697142857142,38.76362935714286,0.8641975308641975,0.07142857142857142,0.13580246913580246,0.34285714285714286,161,161.0,719,719.0,0.34285714285714286,741.0,161.0,719.0,303.7669858242295,0.21727395411605938,0.970310391363023,31.0,462.4166666666667,530.9333333333333,0.6645962732919255,1993.0,209.0,0.4606121424987456,412.03333333333336,0.07175112895132965,0.22428499749121927,942.0,34.0,0.47265429001505266,0.3942857142857143,1.7608163265306123,False,False,low_tier_a_high_assignment_share
Lillgrund,Lillgrund,Baltic,Sweden,48,720.0,8640,9216,6384,2256,576,55.51245,12.78082291666667,6.6278419,0.9375,0.2611111111111111,0.0625,0.10416666666666667,269,269.0,310,310.0,0.10416666666666667,310.0,269.0,310.0,138.55705296383854,0.867741935483871,1.0,11.0,467.6333333333333,564.7,0.9591078066914498,450.0,51.0,0.8333333333333334,357.48333333333335,0.12444444444444444,0.23777777777777778,310.0,0.0,0.6888888888888889,0.3736111111111111,0.4305555555555556,False,False,proxy_controls_only
Arkona-Becken Südost,Arkona-Becken Südost,Baltic,Germany,60,335.0,4020,4680,3600,420,660,54.78156333333333,14.121575,27.218291683333334,0.8589743589743589,0.1044776119402985,0.14102564102564102,0.43333333333333335,84,84.0,336,334.0,0.43333333333333335,398.0,84.0,336.0,352.85257348249957,0.21105527638190955,0.8442211055276382,12.0,444.1333333333333,491.2816666666667,0.8928571428571429,2289.0,182.0,0.4945391000436872,284.93333333333334,0.06465705548274356,0.254696373962429,489.0,62.0,0.21363040629095675,0.2507462686567164,0.9970149253731343,False,False,low_tier_a_high_assignment_share
EnBW Windpark Baltic 2,EnBW Windpark Baltic 2,Baltic,Germany,80,700.0,8400,9360,6960,1440,1360,54.9825225,13.162733749999997,34.785597625,0.8974358974358975,0.17142857142857143,0.1452991452991453,0.325,165,165.0,613,613.0,0.325,624.0,165.0,613.0,271.0648693373038,0.2644230769230769,0.9823717948717948,28.0,502.8,759.7366666666663,0.7151515151515152,998.0,105.0,0.5591182364729459,464.68333333333334,0.06212424849699399,0.17635270541082165,649.0,53.0,0.6503006012024048,0.2357142857142857,0.8757142857142857,False,False,proxy_controls_only
EnBW Windpark Baltic 1,EnBW Windpark Baltic 1,Baltic,Germany,21,276.5,3318,3570,1344,1974,357,54.60939047619048,12.650652380952382,17.513787142857144,0.9294117647058824,0.5949367088607594,0.1,0.09523809523809523,64,64.0,206,206.0,0.09523809523809523,244.0,64.0,206.0,295.2619912606983,0.26229508196721313,0.8442622950819673,16.0,398.525,470.0366666666667,0.78125,465.0,93.0,0.5591397849462365,423.25,0.04516129032258064,0.09247311827956989,316.0,4.0,0.6795698924731183,0.2314647377938517,0.7450271247739603,False,False,proxy_controls_only
Tunm Knob,Tunm Knob,Baltic,Denmark,10,150.0,1800,1920,410,1390,120,55.968849999999996,10.35524,3.32916347,0.9375,0.7722222222222223,0.0625,0.3,30,30.0,34,34.0,0.3,34.0,30.0,34.0,106.13649838460664,0.8823529411764706,1.0,1.0,330.20000000000005,446.48333333333335,1.0,56.0,20.0,0.7321428571428571,208.75,0.21428571428571427,0.2857142857142857,34.0,0.0,0.6071428571428571,0.2,0.22666666666666666,False,False,proxy_controls_only
Rodsand II,Rodsand II,Baltic,Denmark,90,1237.5,14850,15930,9990,4860,1080,54.55688444444444,11.54376777777778,7.981251724444444,0.9322033898305084,0.32727272727272727,0.06779661016949153,0.15555555555555556,240,239.5,642,641.5,0.15555555555555556,647.0,240.0,642.0,246.077252877087,0.37094281298299847,0.9922720247295209,13.0,538.7583333333333,602.535,0.9375,1509.0,89.0,0.7567925778661365,411.1166666666667,0.06626905235255136,0.20410868124585818,726.0,10.0,0.48111332007952284,0.19353535353535353,0.5183838383838384,False,False,proxy_controls_only
