scenario,scenario_label,farm_id,farm_commissioning_start_month,farm_commissioning_end_month,steady_operational_start_month,ramp_up_months,observed_years,commissioning_observed_years,steady_observed_years,coverage_share,commissioning_candidate_count,steady_candidate_count,commissioning_intervention_intensity_per_farm_year,steady_intervention_intensity_per_farm_year,confidence_class,recommended_simulator_use,notes
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Aberdeen Offshore Wind Farm,2018-09,2018-09,2018-09,0,6.416666666666667,0.0,6.416666666666667,0.875,0,1,,0.15584415584415584,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Albatros,2020-01,2020-01,2020-01,0,5.083333333333333,0.0,5.083333333333333,0.8472222222222222,0,57,,11.213114754098362,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Alpha Ventus,2010-04,2010-04,2010-04,0,14.75,0.0,14.75,0.9365079365079365,0,302,,20.47457627118644,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Amrumbank West,2015-10,2015-10,2015-10,0,9.25,0.0,9.25,0.9024390243902439,0,362,,39.13513513513514,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Anholt,2013-09,2013-09,2013-09,0,11.333333333333334,0.0,11.333333333333334,0.918918918918919,0,792,,69.88235294117646,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Arcadis Ost 1,2023-12,2023-12,2023-12,0,1.1666666666666667,0.0,1.1666666666666667,0.56,0,257,,220.28571428571428,low_coverage,validation_required,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Arkona-Becken Südost,2019-01,2019-01,2019-01,0,6.083333333333333,0.0,6.083333333333333,0.8690476190476191,0,407,,66.9041095890411,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Avedøre Holme,2011-12,2011-12,2011-12,0,13.083333333333334,0.0,13.083333333333334,0.9289940828402367,0,2,,0.15286624203821655,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Baltic Eagle,2025-07,2025-07,2025-07,0,0.0,0.0,0.0,0.0,0,0,,,low_coverage,insufficient_steady_coverage,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Bard Offshore 1,2013-09,2013-09,2013-09,0,11.333333333333334,0.0,11.333333333333334,0.918918918918919,0,103,,9.088235294117647,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Barrow,2006-09,2006-09,2006-09,0,15.0,0.0,15.0,0.9375,0,6,,0.4,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Beatrice Offshore Wind Farm,2009-05,2009-05,2009-05,0,15.0,0.0,15.0,0.9375,0,4,,0.26666666666666666,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Belwind phase 1,2010-12,2010-12,2010-12,0,14.083333333333334,0.0,14.083333333333334,0.9337016574585635,0,6,,0.42603550295857984,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Blyth Demo Phase 1,2018-06,2018-06,2018-06,0,6.666666666666667,0.0,6.666666666666667,0.8791208791208791,0,0,,0.0,high_observed_zero,validation_required,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Borkum Riffgrund 1,2015-10,2015-10,2015-10,0,9.25,0.0,9.25,0.9024390243902439,0,171,,18.486486486486488,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Borkum Riffgrund 2,2018-12,2018-12,2018-12,0,6.166666666666667,0.0,6.166666666666667,0.8705882352941177,0,182,,29.513513513513512,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Borssele Kavel I and II,2020-11,2020-11,2020-11,0,4.25,0.0,4.25,0.8225806451612904,0,1,,0.23529411764705882,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Borssele Kavel III and IV,2021-01,2021-01,2021-01,0,4.083333333333333,0.0,4.083333333333333,0.8166666666666667,0,3,,0.7346938775510204,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Burbo Bank,2007-10,2007-10,2007-10,0,15.0,0.0,15.0,0.9375,0,12,,0.8,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Burbo Bank Extension,2017-04,2017-04,2017-04,0,7.833333333333333,0.0,7.833333333333333,0.8952380952380953,0,0,,0.0,high_observed_zero,validation_required,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Butendiek,2015-08,2015-08,2015-08,0,9.416666666666666,0.0,9.416666666666666,0.904,0,480,,50.97345132743363,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Dan Tysk,2015-04,2015-04,2015-04,0,9.75,0.0,9.75,0.9069767441860465,0,481,,49.333333333333336,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Deutsche Bucht,2019-09,2019-09,2019-09,0,5.416666666666667,0.0,5.416666666666667,0.8552631578947368,0,55,,10.153846153846153,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Dudgeon,2017-10,2017-10,2017-10,0,7.333333333333333,0.0,7.333333333333333,0.8888888888888888,0,8,,1.090909090909091,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,East Anglia One,2020-07,2020-07,2020-07,0,4.583333333333333,0.0,4.583333333333333,0.8333333333333334,0,2,,0.4363636363636364,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,EnBW Hohe See,2019-11,2019-11,2019-11,0,5.25,0.0,5.25,0.8513513513513513,0,104,,19.80952380952381,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,EnBW Windpark Baltic 1,2011-05,2011-05,2011-05,0,13.666666666666666,0.0,13.666666666666666,0.9318181818181818,0,262,,19.170731707317074,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,EnBW Windpark Baltic 2,2015-10,2015-10,2015-10,0,9.25,0.0,9.25,0.9024390243902439,0,637,,68.86486486486487,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Frederikshavn Offshore,2003-06,2003-06,2003-06,0,15.0,0.0,15.0,0.9375,0,48,,3.2,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Fécamp,2024-05,2024-05,2024-05,0,0.75,0.0,0.75,0.45,0,0,,0.0,low_coverage,insufficient_steady_coverage,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Galloper,2018-04,2018-04,2018-04,0,6.833333333333333,0.0,6.833333333333333,0.8817204301075269,0,1,,0.14634146341463417,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Gemini,2017-04,2017-04,2017-04,0,7.833333333333333,0.0,7.833333333333333,0.8952380952380953,0,38,,4.851063829787234,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Global Tech I,2015-09,2015-09,2015-09,0,9.333333333333334,0.0,9.333333333333334,0.9032258064516129,0,166,,17.785714285714285,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Gode Wind 1 and 2,2016-09,2016-09,2016-09,0,8.416666666666666,0.0,8.416666666666666,0.9017857142857143,0,324,,38.4950495049505,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Gode Wind 3,2025-02,2025-02,2025-02,0,0.08333333333333333,0.0,0.08333333333333333,0.09090909090909091,0,3,,36.0,low_coverage,insufficient_steady_coverage,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Greater Gabbard,2013-08,2013-08,2013-08,0,11.416666666666666,0.0,11.416666666666666,0.9194630872483222,0,8,,0.7007299270072993,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Gunfleet Sands,2010-06,2010-06,2010-06,0,14.583333333333334,0.0,14.583333333333334,0.9358288770053476,0,22,,1.5085714285714285,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Gwynt y Mor,2015-06,2015-06,2015-06,0,9.583333333333334,0.0,9.583333333333334,0.905511811023622,0,3,,0.31304347826086953,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Hollandse Kust Noord,2023-12,2023-12,2023-12,0,1.1666666666666667,0.0,1.1666666666666667,0.56,0,7,,6.0,low_coverage,validation_required,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Hollandse Kust Zuid,2024-12,2024-12,2024-12,0,0.25,0.0,0.25,0.23076923076923078,0,0,,0.0,low_coverage,insufficient_steady_coverage,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Horns Rev I,2002-12,2002-12,2002-12,0,15.0,0.0,15.0,0.9375,0,587,,39.13333333333333,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Horns Rev II,2010-01,2010-01,2010-01,0,15.0,0.0,15.0,0.9375,0,539,,35.93333333333333,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Horns Rev III,2019-08,2019-08,2019-08,0,5.5,0.0,5.5,0.8571428571428571,0,454,,82.54545454545455,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Hornsea Project 1,2019-12,2019-12,2019-12,0,5.166666666666667,0.0,5.166666666666667,0.8493150684931506,0,33,,6.387096774193548,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Hornsea Project 2,2022-08,2022-08,2022-08,0,2.5,0.0,2.5,0.7317073170731707,0,30,,12.0,low_coverage,validation_required,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Humber Gateway,2015-05,2015-05,2015-05,0,9.666666666666666,0.0,9.666666666666666,0.90625,0,5,,0.5172413793103449,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Hywind Scotland Pilot Park,2017-10,2017-10,2017-10,0,7.333333333333333,0.0,7.333333333333333,0.8888888888888888,0,7,,0.9545454545454546,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Inner Dowsing,2009-03,2009-03,2009-03,0,15.0,0.0,15.0,0.9375,0,55,,3.6666666666666665,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Kaskasi,2023-03,2023-03,2023-03,0,1.9166666666666667,0.0,1.9166666666666667,0.6764705882352942,0,205,,106.95652173913044,low_coverage,validation_required,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Kentish Flats,2005-12,2005-12,2005-12,0,15.0,0.0,15.0,0.9375,0,10,,0.6666666666666666,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Kentish Flats Extension,2015-12,2015-12,2015-12,0,9.083333333333334,0.0,9.083333333333334,0.9008264462809917,0,2,,0.2201834862385321,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Kincardine,2021-10,2021-10,2021-10,0,3.3333333333333335,0.0,3.3333333333333335,0.7843137254901961,0,0,,0.0,low_signal_ambiguous,validation_required,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Kriegers Flak,2021-09,2021-09,2021-09,0,3.4166666666666665,0.0,3.4166666666666665,0.7884615384615384,0,1046,,306.1463414634147,low_coverage,validation_required,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Lillgrund,2007-12,2007-12,2007-12,0,15.0,0.0,15.0,0.9375,0,310,,20.666666666666668,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Lincs,2013-09,2013-09,2013-09,0,11.333333333333334,0.0,11.333333333333334,0.918918918918919,0,1,,0.08823529411764705,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,London Array,2013-04,2013-04,2013-04,0,11.75,0.0,11.75,0.9215686274509803,0,1,,0.0851063829787234,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Lynn,2009-03,2009-03,2009-03,0,15.0,0.0,15.0,0.9375,0,62,,4.133333333333334,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Meerwind Sued/Ost,2014-12,2014-12,2014-12,0,10.083333333333334,0.0,10.083333333333334,0.9097744360902256,0,361,,35.80165289256198,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Merkur Offshore,2019-06,2019-06,2019-06,0,5.666666666666667,0.0,5.666666666666667,0.8607594936708861,0,466,,82.23529411764706,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
