audit_category,rank,farm_id,turbine_count,farm_commissioning_start_month,farm_commissioning_end_month,steady_operational_start_month,observed_years,commissioning_observed_years,steady_observed_years,coverage_share,candidate_intervention_count,commissioning_candidate_count,steady_candidate_count,commissioning_intervention_intensity_per_farm_year,steady_intervention_intensity_per_farm_year,steady_duplicate_adjusted_count,steady_duplicate_adjusted_rate,pre_operational_candidate_count,confidence_class,recommended_simulator_use
top_20_steady_operational_intensity,1,Kriegers Flak,72,2021-09,2021-09,2022-03,3.4166666666666665,0.5,2.9166666666666665,0.7884615384615384,1046,4,1042,8.0,357.25714285714287,1042.0,357.25714285714287,140,low_coverage,validation_required
top_20_steady_operational_intensity,2,Arcadis Ost 1,27,2023-12,2023-12,2024-06,1.1666666666666667,0.5,0.6666666666666666,0.56,257,75,182,150.0,273.0,182.0,273.0,50,low_coverage,insufficient_steady_coverage
top_20_steady_operational_intensity,3,Kaskasi,38,2023-03,2023-03,2023-09,1.9166666666666667,0.5,1.4166666666666667,0.6764705882352942,205,4,201,8.0,141.88235294117646,157.33333333333334,111.05882352941177,49,low_coverage,validation_required
top_20_steady_operational_intensity,4,Vesterhav Syd,20,2024-03,2024-03,2024-09,0.9166666666666666,0.5,0.4166666666666667,0.5,207,149,58,298.0,139.2,58.0,139.2,32,low_coverage,insufficient_steady_coverage
top_20_steady_operational_intensity,5,Wikinger,70,2018-10,2018-10,2019-04,6.333333333333333,0.5,5.833333333333333,0.8735632183908046,779,27,752,54.0,128.9142857142857,750.0,128.57142857142858,197,high_observed_signal,steady_operational_only
top_20_steady_operational_intensity,6,Vesterhav Nord,21,2024-03,2024-03,2024-09,0.9166666666666666,0.5,0.4166666666666667,0.5,192,141,51,282.0,122.39999999999999,51.0,122.39999999999999,30,low_coverage,insufficient_steady_coverage
top_20_steady_operational_intensity,7,Merkur Offshore,66,2019-06,2019-06,2019-12,5.666666666666667,0.5,5.166666666666667,0.8607594936708861,466,7,459,14.0,88.83870967741935,361.0,69.87096774193547,71,high_observed_signal,steady_operational_only
top_20_steady_operational_intensity,8,Horns Rev III,49,2019-08,2019-08,2020-02,5.5,0.5,5.0,0.8571428571428571,454,14,440,28.0,88.0,437.5,87.5,93,high_observed_signal,steady_operational_only
top_20_steady_operational_intensity,9,Anholt,111,2013-09,2013-09,2014-03,11.333333333333334,0.5,10.833333333333334,0.918918918918919,792,0,792,0.0,73.1076923076923,792.0,73.1076923076923,88,high_observed_signal,steady_operational_only
top_20_steady_operational_intensity,10,EnBW Windpark Baltic 2,80,2015-10,2015-10,2016-04,9.25,0.5,8.75,0.9024390243902439,637,0,637,0.0,72.8,637.0,72.8,65,high_observed_signal,steady_operational_only
top_20_steady_operational_intensity,11,Arkona-Becken Südost,60,2019-01,2019-01,2019-07,6.083333333333333,0.5,5.583333333333333,0.8690476190476191,407,9,398,18.0,71.28358208955224,396.0,70.92537313432837,144,high_observed_signal,steady_operational_only
top_20_steady_operational_intensity,12,Butendiek,80,2015-08,2015-08,2016-02,9.416666666666666,0.5,8.916666666666666,0.904,480,0,480,0.0,53.831775700934585,480.0,53.831775700934585,6,high_observed_signal,steady_operational_only
top_20_steady_operational_intensity,13,Dan Tysk,80,2015-04,2015-04,2015-10,9.75,0.5,9.25,0.9069767441860465,481,0,481,0.0,52.0,481.0,52.0,8,high_observed_signal,steady_operational_only
top_20_steady_operational_intensity,14,Rodsand II,90,2010-10,2010-10,2011-04,14.25,0.5,13.75,0.9344262295081968,657,8,649,16.0,47.2,648.0,47.127272727272725,79,high_observed_signal,steady_operational_only
top_20_steady_operational_intensity,15,Amrumbank West,80,2015-10,2015-10,2016-04,9.25,0.5,8.75,0.9024390243902439,362,0,362,0.0,41.371428571428574,321.1666666666667,36.70476190476191,19,high_observed_signal,steady_operational_only
top_20_steady_operational_intensity,16,Gode Wind 1 and 2,97,2016-09,2016-09,2017-03,8.416666666666666,0.5,7.916666666666667,0.9017857142857143,324,0,324,0.0,40.92631578947368,324.0,40.92631578947368,2,high_observed_signal,steady_operational_only
top_20_steady_operational_intensity,17,Horns Rev I,80,2002-12,2002-12,2003-06,15.0,0.0,15.0,0.9375,587,0,587,,39.13333333333333,587.0,39.13333333333333,0,high_observed_signal,steady_operational_only
top_20_steady_operational_intensity,18,Sandbank,72,2017-01,2017-01,2017-07,8.083333333333334,0.5,7.583333333333333,0.8981481481481481,303,14,289,28.0,38.10989010989011,289.0,38.10989010989011,2,high_observed_signal,steady_operational_only
