comparison_scope,matched_strata,usable_strata,farm_dominated_strata,baltic_years,north_sea_years,baltic_high_events,north_sea_high_events,baltic_primary_intensity,north_sea_primary_intensity,primary_baltic_to_north_sea_ratio,baltic_sensitivity_intensity,north_sea_sensitivity_intensity,sensitivity_baltic_to_north_sea_ratio
OEM: all matched strata,4,1.0,3.0,5442.666666666666,39967.0,1454.5,1403.1666666666665,0.26724032337089665,0.03510813087463824,7.611921133743647,0.708016903478687,0.09981568127038139,7.093243210561335
OEM: excluding farm-dominated/low-exposure strata,1,1.0,0.0,4524.25,21538.166666666668,1033.5,867.6666666666666,0.22843565231806376,0.04028507533138846,5.670478469729363,0.585400895175996,0.11821649939255119,4.951939011762702
capacity_band: all matched strata,4,0.0,4.0,6987.666666666666,43152.333333333336,1732.5,1697.6666666666665,0.2479368411009875,0.03934124844542975,6.302210806677899,0.6275342269713305,0.10989749492109348,5.71017771990072
capacity_band: excluding farm-dominated/low-exposure strata,0,,,0.0,0.0,0.0,0.0,,,,,,
age_band: all matched strata,4,3.0,1.0,6987.666666666666,43293.33333333333,1732.5,1699.6666666666665,0.2479368411009875,0.03925931629196181,6.315363193213622,0.6275342269713305,0.10960886972590084,5.725213922382439
age_band: excluding farm-dominated/low-exposure strata,3,3.0,0.0,6969.666666666666,43081.416666666664,1707.5,1637.1666666666665,0.24499019560954616,0.03800169059745404,6.446823595420765,0.6168157252857621,0.10555982181025461,5.843281228671433
country: all matched strata,2,1.0,1.0,6267.666666666666,13062.916666666668,1463.5,1521.3333333333333,0.23349997340849868,0.1164619948327007,2.00494567986685,0.6501622081582726,0.3381710312270741,1.9225839830192422
country: excluding farm-dominated/low-exposure strata,1,1.0,0.0,1737.8333333333335,10135.666666666668,499.0,1039.3333333333333,0.2871391579553083,0.10254217778800932,2.800205380355055,1.1266903231993861,0.3016575130726477,3.734998381850503
OEM_capacity: all matched strata,8,0.0,8.0,5442.666666666666,36385.16666666667,1454.5,1377.1666666666665,0.26724032337089665,0.037849673172675666,7.060571491640305,0.708016903478687,0.10733311651726204,6.596444102737097
OEM_capacity: excluding farm-dominated/low-exposure strata,0,,,0.0,0.0,0.0,0.0,,,,,,
OEM_age: all matched strata,6,1.0,5.0,5034.333333333333,32169.583333333336,1293.5,1191.6666666666665,0.25693570813745614,0.03704327327832968,6.936096230128873,0.6226246441104417,0.10241558407916379,6.07939357773104
OEM_age: excluding farm-dominated/low-exposure strata,1,1.0,0.0,2216.75,16986.916666666668,429.0,667.8333333333333,0.19352655915191158,0.039314570527317586,4.922514898577878,0.6094507725273486,0.11334213095372418,5.377089414140077
capacity_age: all matched strata,7,0.0,7.0,6987.666666666666,34924.0,1732.5,1318.1666666666665,0.2479368411009875,0.037743862864124,6.568931272179205,0.6275342269713305,0.10914652769823997,5.74946578883654
capacity_age: excluding farm-dominated/low-exposure strata,0,,,0.0,0.0,0.0,0.0,,,,,,
OEM_capacity_age: all matched strata,7,0.0,7.0,5016.333333333333,25601.66666666667,1268.5,996.8333333333333,0.25287394511263206,0.0389362671701061,6.4945605598982485,0.6077147983254702,0.11174402708157018,5.438454422998864
OEM_capacity_age: excluding farm-dominated/low-exposure strata,0,,,0.0,0.0,0.0,0.0,,,,,,
country_OEM_capacity_age: all matched strata,3,0.0,3.0,2102.5,7098.0,446.5,902.8333333333333,0.21236623067776456,0.12719545411853103,1.6696055071265714,0.6185493460166468,0.3801540340001878,1.6271018868534253
country_OEM_capacity_age: excluding farm-dominated/low-exposure strata,0,,,0.0,0.0,0.0,0.0,,,,,,
