comparison_focus,primary_rank,analysis_label,characteristic,characteristic_value,exposure_threshold,exposure_threshold_description,turbine_count,farm_count,oem_count,observed_steady_turbine_years,high_confidence_event_count,high_confidence_duplicate_adjusted_event_count,high_medium_event_count,high_medium_duplicate_adjusted_event_count,primary_raw_intervention_intensity_per_turbine_year,primary_duplicate_adjusted_intervention_intensity_per_turbine_year,sensitivity_raw_intervention_intensity_per_turbine_year,sensitivity_duplicate_adjusted_intervention_intensity_per_turbine_year,zero_event_turbine_count,zero_event_turbine_share,dominant_farm,dominant_farm_turbine_share,dominant_oem,dominant_oem_turbine_share,short_age_turbine_share,interpretation_flag
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,1,RQ9 turbine characteristics maintenance intervention intensity v1,country,Sweden,min_3yr,>=3 steady observed years,48,1,1,720.0,269,269.0,310,310.0,0.3736111111111111,0.3736111111111111,0.4305555555555556,0.4305555555555556,5,0.10416666666666667,Lillgrund,1.0,Siemens,1.0,0.0,single_farm_dominated
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,2,RQ9 turbine characteristics maintenance intervention intensity v1,country,Denmark,min_3yr,>=3 steady observed years,559,14,5,7230.0,1206,1205.5,3028,3026.0,0.16680497925311202,0.16673582295988934,0.41881051175656986,0.4185338865836791,167,0.29874776386404295,Anholt,0.19856887298747763,Siemens,0.5366726296958855,0.0,robust_enough_for_exploratory_comparison
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,3,RQ9 turbine characteristics maintenance intervention intensity v1,country,Germany,min_3yr,>=3 steady observed years,1499,26,7,11801.666666666668,1508,1494.8333333333333,4889,4827.833333333333,0.12777856234995055,0.12666290072023723,0.41426352210139805,0.40908063832791974,827,0.5517011340893929,Gode Wind 1 and 2,0.06470980653769179,Siemens,0.5503669112741828,0.0,robust_enough_for_exploratory_comparison
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,4,RQ9 turbine characteristics maintenance intervention intensity v1,country,Netherlands,min_3yr,>=3 steady observed years,460,6,3,3548.25,23,23.0,48,48.0,0.006482068625378708,0.006482068625378708,0.013527795392094694,0.013527795392094694,439,0.9543478260869566,Gemini,0.32608695652173914,Vestas,0.46956521739130436,0.0,robust_enough_for_exploratory_comparison
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,5,RQ9 turbine characteristics maintenance intervention intensity v1,country,United Kingdom,min_3yr,>=3 steady observed years,2290,37,4,22532.333333333332,145,140.83333333333334,263,251.83333333333334,0.006435196828261609,0.006250277379173633,0.011672115626433126,0.011176531502877347,2170,0.9475982532751092,London Array,0.07641921397379912,Siemens,0.5593886462882096,0.0,robust_enough_for_exploratory_comparison
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,6,RQ9 turbine characteristics maintenance intervention intensity v1,country,Belgium,min_3yr,>=3 steady observed years,398,10,3,3221.3333333333335,10,9.5,21,17.0,0.003104304635761589,0.00294908940397351,0.006519039735099337,0.005277317880794702,393,0.9874371859296482,Northwind,0.18090452261306533,Vestas,0.6130653266331658,0.0,insufficient_event_signal
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,1,RQ9 turbine characteristics maintenance intervention intensity v1,hub_height_band,lt_70_m,min_3yr,>=3 steady observed years,482,11,3,7033.5,1068,1067.5,2282,2280.5,0.15184474301556836,0.15177365465273335,0.32444728797895783,0.32423402289045283,195,0.4045643153526971,Horns Rev II,0.1887966804979253,Siemens,0.520746887966805,0.0,robust_enough_for_exploratory_comparison
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,2,RQ9 turbine characteristics maintenance intervention intensity v1,hub_height_band,90_to_109_m,min_3yr,>=3 steady observed years,1879,40,7,14491.333333333332,977,965.3333333333333,3402,3345.833333333333,0.06741960712149792,0.06661452822376593,0.23476100657864474,0.23088512674242076,1396,0.7429483767961682,West of Duddon Sands,0.05747738158594997,Siemens,0.3571048430015966,0.0,robust_enough_for_exploratory_comparison
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,3,RQ9 turbine characteristics maintenance intervention intensity v1,hub_height_band,70_to_89_m,min_3yr,>=3 steady observed years,2202,34,4,23730.666666666668,994,987.8333333333334,2646,2627.3333333333335,0.04188672884593774,0.04162686818743679,0.11150129228003146,0.11071468704348804,1762,0.8001816530426885,London Array,0.07947320617620345,Siemens,0.648047229791099,0.0,robust_enough_for_exploratory_comparison
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,4,RQ9 turbine characteristics maintenance intervention intensity v1,hub_height_band,110_to_129_m,min_3yr,>=3 steady observed years,691,9,3,3798.083333333333,122,122.0,229,227.0,0.03212146477389912,0.03212146477389912,0.06029356912477785,0.0597669877350418,648,0.9377713458755427,Hornsea Project 1,0.25180897250361794,Siemens Gamesa,0.46164978292329956,0.0,robust_enough_for_exploratory_comparison
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,1,RQ9 turbine characteristics maintenance intervention intensity v1,oem_manufacturer,Bonus,min_3yr,>=3 steady observed years,102,4,1,1530.0,278,278.0,532,531.5,0.18169934640522875,0.18169934640522875,0.3477124183006536,0.34738562091503267,31,0.30392156862745096,Nysted,0.7058823529411765,Bonus,1.0,0.0,single_farm_dominated
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,2,RQ9 turbine characteristics maintenance intervention intensity v1,oem_manufacturer,Adwen,min_3yr,>=3 steady observed years,196,4,1,1553.8333333333335,224,223.5,943,941.5,0.14415960527727126,0.14383782044406307,0.6068861954306554,0.6059208409310307,110,0.5612244897959183,Global Tech I,0.40816326530612246,Adwen,1.0,0.0,robust_enough_for_exploratory_comparison
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,3,RQ9 turbine characteristics maintenance intervention intensity v1,oem_manufacturer,GE Energy,min_3yr,>=3 steady observed years,66,1,1,341.00000000000006,46,46.0,213,212.5,0.1348973607038123,0.1348973607038123,0.6246334310850439,0.6231671554252198,33,0.5,Merkur Offshore,1.0,GE Energy,1.0,0.0,single_farm_dominated
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,4,RQ9 turbine characteristics maintenance intervention intensity v1,oem_manufacturer,Senvion,min_3yr,>=3 steady observed years,242,8,1,2118.666666666667,215,213.5,474,461.5,0.1014789175582127,0.10077092511013215,0.22372561359345497,0.21782567652611703,147,0.6074380165289256,Nordsee One,0.2231404958677686,Senvion,1.0,0.0,robust_enough_for_exploratory_comparison
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,5,RQ9 turbine characteristics maintenance intervention intensity v1,oem_manufacturer,Siemens,min_3yr,>=3 steady observed years,2604,39,1,26062.416666666664,1915,1901.1666666666665,5247,5194.666666666666,0.07347745316531788,0.07294667608849269,0.20132438473024697,0.1993163847046673,1862,0.7150537634408602,London Array,0.06720430107526881,Siemens,1.0,0.0,robust_enough_for_exploratory_comparison
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,6,RQ9 turbine characteristics maintenance intervention intensity v1,oem_manufacturer,Bard,min_3yr,>=3 steady observed years,80,1,1,866.6666666666665,37,37.0,82,82.0,0.0426923076923077,0.0426923076923077,0.09461538461538463,0.09461538461538463,58,0.725,Bard Offshore 1,1.0,Bard,1.0,0.0,single_farm_dominated
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,7,RQ9 turbine characteristics maintenance intervention intensity v1,oem_manufacturer,Vestas,min_3yr,>=3 steady observed years,1271,30,1,12560.0,421,419.5,981,976.0,0.03351910828025478,0.03339968152866242,0.07810509554140127,0.07770700636942675,1089,0.8568056648308419,Rampion,0.09126671911880409,Vestas,1.0,0.0,robust_enough_for_exploratory_comparison
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,8,RQ9 turbine characteristics maintenance intervention intensity v1,oem_manufacturer,Siemens Gamesa,min_3yr,>=3 steady observed years,692,11,1,4005.9999999999995,25,24.0,87,81.0,0.006240639041437844,0.00599101347978033,0.021717423864203698,0.020219670494258615,670,0.9682080924855492,Hornsea Project 1,0.2514450867052023,Siemens Gamesa,1.0,0.0,robust_enough_for_exploratory_comparison
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,1,RQ9 turbine characteristics maintenance intervention intensity v1,operational_age_band,15_plus_years,min_3yr,>=3 steady observed years,1125,28,7,16386.083333333332,1367,1361.8333333333333,2901,2884.8333333333335,0.08342445062629365,0.08310914241251469,0.1770404764205398,0.17605386684839272,707,0.6284444444444445,Thanet,0.08888888888888889,Vestas,0.4746666666666667,0.0,robust_enough_for_exploratory_comparison
