hs_bin_m,0.0-0.5,0.5-1.0,1.0-1.5,1.5-2.0,2.0-2.5,2.5-3.0,3.0-3.5,3.5-4.0,4.0-4.5,4.5-5.0,5.0-5.5,5.5-6.0,6.0-6.5,6.5-7.0,7.0-7.5,7.5-8.0,8.0-8.5,8.5-9.0,9.0-9.5,9.5-10.0,10.0-10.5,10.5-11.0,11.0-11.5,11.5-12.0,12.0-12.5,12.5-13.0,13.0-13.5,13.5-14.0,14.0-14.5,14.5-15.0,15.0-15.5,15.5-16.0
0.00-0.25,0,0,0,2611,3241,2532,1071,965,416,285,131,57,72,34,9,2,10,2,8,8,16,36,15,4,6,0,0,0,0,4,0,0
0.25-0.50,0,0,0,1,379,2320,2682,1538,800,761,587,563,271,300,125,262,134,29,63,20,63,15,34,14,10,0,0,0,0,0,0,0
0.50-0.75,0,0,0,0,0,23,1074,2933,1214,597,543,676,405,373,72,150,156,52,97,81,182,21,30,6,32,12,2,9,5,10,0,5
0.75-1.00,0,0,0,0,0,0,10,890,1956,1093,554,592,468,382,134,182,68,20,50,30,78,17,83,19,27,1,1,5,0,4,2,5
1.00-1.25,0,0,0,0,0,0,0,24,423,1058,490,421,319,220,78,184,85,24,82,12,29,6,23,5,16,0,0,12,0,1,0,0
1.25-1.50,0,0,0,0,0,0,0,0,23,203,383,249,165,126,36,76,65,27,24,6,13,6,7,2,28,2,0,1,0,2,0,0
1.50-1.75,0,0,0,0,0,0,0,0,0,14,112,162,118,75,52,77,32,11,6,4,3,5,4,0,6,1,0,1,0,0,0,0
1.75-2.00,0,0,0,0,0,0,0,0,0,0,22,86,116,59,34,51,15,3,12,0,1,4,2,0,0,0,0,1,0,1,0,0
2.00-2.25,0,0,0,0,0,0,0,0,0,0,3,8,49,41,13,51,14,1,7,2,0,0,2,0,1,0,0,0,0,0,0,0
2.25-2.50,0,0,0,0,0,0,0,0,0,0,0,3,4,40,15,13,10,4,3,1,1,0,0,1,0,0,0,0,0,0,0,0
2.50-2.75,0,0,0,0,0,0,0,0,0,0,0,0,1,12,9,5,10,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2.75-3.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,6,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3.00-3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0
3.25-3.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.50-3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
3.75-4.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.00-4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.25-4.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.50-4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4.75-5.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5.00-5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.25-5.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.50-5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.75-6.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
